Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd
,,673,N/A,N/A,N/A,0.311,2.354
,,674,N/A,N/A,N/A,0.270,2.042
,,675,N/A,N/A,N/A,0.232,1.762
,,676,N/A,N/A,N/A,0.199,1.515
,,677,N/A,N/A,N/A,0.171,1.300
,,678,N/A,N/A,N/A,0.147,1.117
,,679,N/A,N/A,N/A,0.126,0.961
,,680,N/A,N/A,N/A,0.108,0.828
,,681,N/A,N/A,N/A,0.094,0.718
,,682,N/A,N/A,N/A,0.082,0.626
,,683,N/A,N/A,N/A,0.072,0.551
,,684,N/A,N/A,N/A,0.064,0.489
,,685,N/A,N/A,N/A,0.057,0.438
,,686,N/A,N/A,N/A,0.052,0.397
,,687,N/A,N/A,N/A,0.047,0.363
,,688,N/A,N/A,N/A,0.043,0.335
,,689,N/A,N/A,N/A,0.040,0.312
,,690,N/A,N/A,N/A,0.038,0.294
,,691,N/A,N/A,N/A,0.036,0.279
,,692,N/A,N/A,N/A,0.034,0.266
,,693,N/A,N/A,N/A,0.033,0.255
,,694,N/A,N/A,N/A,0.031,0.244
,,695,N/A,N/A,N/A,0.030,0.235
,,696,N/A,N/A,N/A,0.029,0.227
,,697,N/A,N/A,N/A,0.028,0.219
,,698,N/A,N/A,N/A,0.027,0.212
,,699,N/A,N/A,N/A,0.026,0.204
,,700,N/A,N/A,N/A,0.025,0.196
,,701,N/A,N/A,N/A,0.024,0.188
,,702,N/A,N/A,N/A,0.023,0.180
,,703,N/A,N/A,N/A,0.022,0.171
,,704,N/A,N/A,N/A,0.021,0.163
,,705,N/A,N/A,N/A,0.019,0.154
,,706,N/A,N/A,N/A,0.019,0.147
,,707,N/A,N/A,N/A,0.018,0.140
,,708,N/A,N/A,N/A,0.017,0.133
,,709,N/A,N/A,N/A,0.016,0.126
,,710,N/A,N/A,N/A,0.015,0.120
,,711,N/A,N/A,N/A,0.014,0.114
,,712,N/A,N/A,N/A,0.014,0.108
,,713,N/A,N/A,N/A,0.013,0.103
,,714,N/A,N/A,N/A,0.012,0.098
,,715,N/A,N/A,N/A,0.012,0.094
,,716,N/A,N/A,N/A,0.011,0.090
,,717,N/A,N/A,N/A,0.011,0.085
,,718,N/A,N/A,N/A,0.010,0.081
,,719,N/A,N/A,N/A,0.010,0.078
,,720,N/A,N/A,N/A,0.009,0.075
,,721,N/A,N/A,N/A,0.009,0.073
,,722,N/A,N/A,N/A,0.009,0.070
,,723,N/A,N/A,N/A,0.008,0.068
,,724,N/A,N/A,N/A,0.008,0.067
,,725,N/A,N/A,N/A,0.008,0.065
,,726,N/A,N/A,N/A,0.008,0.064
,,727,N/A,N/A,N/A,0.008,0.064
,,728,N/A,N/A,N/A,0.008,0.063
,,729,N/A,N/A,N/A,0.008,0.063
,,730,N/A,N/A,N/A,0.008,0.062
,,731,N/A,N/A,N/A,0.007,0.061
,,732,N/A,N/A,N/A,0.007,0.060
,,733,N/A,N/A,N/A,0.007,0.060
,,734,N/A,N/A,N/A,0.007,0.059
,,735,N/A,N/A,N/A,0.007,0.059
,,736,N/A,N/A,N/A,0.007,0.058
,,737,N/A,N/A,N/A,0.007,0.058
,,738,N/A,N/A,N/A,0.007,0.057
,,739,N/A,N/A,N/A,0.007,0.056
,,740,N/A,N/A,N/A,0.007,0.056
,,741,N/A,N/A,N/A,0.007,0.055
,,742,N/A,N/A,N/A,0.007,0.055
,,743,N/A,N/A,N/A,0.007,0.055
,,744,N/A,N/A,N/A,0.007,0.055
,,745,N/A,N/A,N/A,0.006,0.054
,,746,N/A,N/A,N/A,0.006,0.053
,,747,N/A,N/A,N/A,0.006,0.051
,,748,N/A,N/A,N/A,0.006,0.050
,,749,N/A,N/A,N/A,0.006,0.049
,,750,N/A,N/A,N/A,0.006,0.048
,,751,N/A,N/A,N/A,0.005,0.046
,,752,N/A,N/A,N/A,0.005,0.045
,,753,N/A,N/A,N/A,0.005,0.044
,,754,N/A,N/A,N/A,0.005,0.042
,,755,N/A,N/A,N/A,0.005,0.041
,,756,N/A,N/A,N/A,0.005,0.040
,,757,N/A,N/A,N/A,0.005,0.040
,,758,N/A,N/A,N/A,0.005,0.040
,,759,N/A,N/A,N/A,0.005,0.040
,,760,N/A,N/A,N/A,0.005,0.040
,,761,N/A,N/A,N/A,0.005,0.039
,,762,N/A,N/A,N/A,0.004,0.038
,,763,N/A,N/A,N/A,0.004,0.037
,,764,N/A,N/A,N/A,0.004,0.036
,,765,N/A,N/A,N/A,0.004,0.037
,,766,N/A,N/A,N/A,0.004,0.037
,,767,N/A,N/A,N/A,0.004,0.038
,,768,N/A,N/A,N/A,0.004,0.037
,,769,N/A,N/A,N/A,0.004,0.036
,,770,N/A,N/A,N/A,0.004,0.036
