# Omega OM-92 Logger 

# Configuration :
DeviceID,6810
LoggingStart,Button Press
LoggingStartTime,09.10 14:55:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,101,2018-08-24,05:10:00,,2018-08-24 05:10:00,21.1042,57.4956,12.3868
,,102,2018-08-24,05:20:00,,2018-08-24 05:20:00,21.0828,57.5872,12.391
,,103,2018-08-24,05:30:00,,2018-08-24 05:30:00,21.0613,57.8161,12.4313
,,104,2018-08-24,05:40:00,,2018-08-24 05:40:00,21.0399,57.7856,12.4032
,,105,2018-08-24,05:50:00,,2018-08-24 05:50:00,21.0184,57.8695,12.4053
,,106,2018-08-24,06:00:00,,2018-08-24 06:00:00,21.0184,57.9,12.4133
,,107,2018-08-24,06:10:00,,2018-08-24 06:10:00,21.5118,57.5262,12.776
,,108,2018-08-24,06:20:00,,2018-08-24 06:20:00,22.2411,57.1828,13.366
,,109,2018-08-24,06:30:00,,2018-08-24 06:30:00,22.9275,55.5273,13.5548
,,110,2018-08-24,06:40:00,,2018-08-24 06:40:00,23.5281,54.2379,13.7516
,,111,2018-08-24,06:50:00,,2018-08-24 06:50:00,24.0536,53.7649,14.1039
,,112,2018-08-24,07:00:00,,2018-08-24 07:00:00,24.429,53.0324,14.2397
,,113,2018-08-24,07:10:00,,2018-08-24 07:10:00,24.6864,52.3534,14.2785
,,114,2018-08-24,07:20:00,,2018-08-24 07:20:00,24.8473,52.1169,14.3571
,,115,2018-08-24,07:30:00,,2018-08-24 07:30:00,24.9974,53.1469,14.7991
,,116,2018-08-24,07:40:00,,2018-08-24 07:40:00,25.1798,53.1774,14.9767
,,117,2018-08-24,07:50:00,,2018-08-24 07:50:00,25.2977,53.1698,15.0836
,,118,2018-08-24,08:00:00,,2018-08-24 08:00:00,25.405,52.8188,15.0798
,,119,2018-08-24,08:10:00,,2018-08-24 08:10:00,25.4693,52.8188,15.1393
,,120,2018-08-24,08:20:00,,2018-08-24 08:20:00,25.5659,52.8722,15.2443
,,121,2018-08-24,08:30:00,,2018-08-24 08:30:00,25.6195,52.4908,15.1811
,,122,2018-08-24,08:40:00,,2018-08-24 08:40:00,25.6624,53.0477,15.3852
,,123,2018-08-24,08:50:00,,2018-08-24 08:50:00,25.6946,52.6967,15.3115
,,124,2018-08-24,09:00:00,,2018-08-24 09:00:00,25.7375,52.3763,15.2561
,,125,2018-08-24,09:10:00,,2018-08-24 09:10:00,25.7804,52.6357,15.3727
,,126,2018-08-24,09:20:00,,2018-08-24 09:20:00,25.7911,52.6967,15.4007
,,127,2018-08-24,09:30:00,,2018-08-24 09:30:00,25.7911,52.2848,15.2784
,,128,2018-08-24,09:40:00,,2018-08-24 09:40:00,25.8018,52.4602,15.3405
,,129,2018-08-24,09:50:00,,2018-08-24 09:50:00,25.8125,52.5823,15.3866
,,130,2018-08-24,10:00:00,,2018-08-24 10:00:00,25.8447,52.5213,15.3982
,,131,2018-08-24,10:10:00,,2018-08-24 10:10:00,25.8876,52.4297,15.4107
,,132,2018-08-24,10:20:00,,2018-08-24 10:20:00,25.9627,52.2848,15.4368
,,133,2018-08-24,10:30:00,,2018-08-24 10:30:00,25.952,52.3687,15.4519
,,134,2018-08-24,10:40:00,,2018-08-24 10:40:00,25.9412,52.3153,15.4261
,,135,2018-08-24,10:50:00,,2018-08-24 10:50:00,25.9627,52.3687,15.4618
,,136,2018-08-24,11:00:00,,2018-08-24 11:00:00,25.9627,52.3687,15.4618
,,137,2018-08-24,11:10:00,,2018-08-24 11:10:00,25.9734,52.2237,15.4285
,,138,2018-08-24,11:20:00,,2018-08-24 11:20:00,26.0163,52.5136,15.5545
,,139,2018-08-24,11:30:00,,2018-08-24 11:30:00,26.027,52.2237,15.478
,,140,2018-08-24,11:40:00,,2018-08-24 11:40:00,26.0163,52.1932,15.459
,,141,2018-08-24,11:50:00,,2018-08-24 11:50:00,26.0485,52.1627,15.4796
,,142,2018-08-24,12:00:00,,2018-08-24 12:00:00,26.0485,52.2848,15.516
,,143,2018-08-24,12:10:00,,2018-08-24 12:10:00,26.0592,52.3076,15.5328
,,144,2018-08-24,12:20:00,,2018-08-24 12:20:00,26.0699,52.3076,15.5427
,,145,2018-08-24,12:30:00,,2018-08-24 12:30:00,26.0914,52.3076,15.5625
,,146,2018-08-24,12:40:00,,2018-08-24 12:40:00,26.1128,52.2237,15.5572
,,147,2018-08-24,12:50:00,,2018-08-24 12:50:00,26.1236,52.2466,15.5739
,,148,2018-08-24,13:00:00,,2018-08-24 13:00:00,26.1343,52.0711,15.5313
,,149,2018-08-24,13:10:00,,2018-08-24 13:10:00,26.1557,51.9872,15.5259
,,150,2018-08-24,13:20:00,,2018-08-24 13:20:00,26.1879,52.1017,15.59
,,151,2018-08-24,13:30:00,,2018-08-24 13:30:00,26.1879,52.0406,15.5717
,,152,2018-08-24,13:40:00,,2018-08-24 13:40:00,26.1879,52.0711,15.5808
,,153,2018-08-24,13:50:00,,2018-08-24 13:50:00,26.2201,51.9262,15.567
,,154,2018-08-24,14:00:00,,2018-08-24 14:00:00,26.2201,51.8041,15.5302
,,155,2018-08-24,14:10:00,,2018-08-24 14:10:00,26.2415,51.7202,15.5247
,,156,2018-08-24,14:20:00,,2018-08-24 14:20:00,26.2523,51.9796,15.6127
,,157,2018-08-24,14:30:00,,2018-08-24 14:30:00,26.2523,51.8957,15.5875
,,158,2018-08-24,14:40:00,,2018-08-24 14:40:00,26.2737,51.8041,15.5797
,,159,2018-08-24,14:50:00,,2018-08-24 14:50:00,26.2844,52.4526,15.784
,,160,2018-08-24,15:00:00,,2018-08-24 15:00:00,26.3059,52.4221,15.7947
,,161,2018-08-24,15:10:00,,2018-08-24 15:10:00,26.3059,52.1017,15.6988
,,162,2018-08-24,15:20:00,,2018-08-24 15:20:00,26.2952,51.9567,15.6454
,,163,2018-08-24,15:30:00,,2018-08-24 15:30:00,26.2844,51.9262,15.6263
,,164,2018-08-24,15:40:00,,2018-08-24 15:40:00,26.2844,51.6897,15.555
,,165,2018-08-24,15:50:00,,2018-08-24 15:50:00,26.2844,51.6286,15.5366
,,166,2018-08-24,16:00:00,,2018-08-24 16:00:00,26.2844,51.6897,15.555
,,167,2018-08-24,16:10:00,,2018-08-24 16:10:00,26.263,51.7202,15.5445
,,168,2018-08-24,16:20:00,,2018-08-24 16:20:00,26.3166,51.8346,15.6284
