Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd,Test 2 - raw,Test 2 - ppfd,Test 3 - raw,Test 3 - ppfd,Test 4 - raw,Test 4 - ppfd
,,418,N/A,N/A,N/A,0.011,0.015,0.010,0.012,0.010,0.013,0.009,0.005
,,419,N/A,N/A,N/A,0.013,0.017,0.012,0.014,0.012,0.015,0.011,0.006
,,420,N/A,N/A,N/A,0.015,0.020,0.014,0.016,0.013,0.017,0.012,0.007
,,421,N/A,N/A,N/A,0.017,0.023,0.016,0.019,0.016,0.020,0.015,0.008
,,422,N/A,N/A,N/A,0.020,0.027,0.018,0.022,0.018,0.023,0.017,0.010
,,423,N/A,N/A,N/A,0.023,0.031,0.021,0.026,0.021,0.027,0.020,0.012
,,424,N/A,N/A,N/A,0.027,0.036,0.025,0.030,0.024,0.031,0.023,0.013
,,425,N/A,N/A,N/A,0.031,0.042,0.029,0.035,0.028,0.036,0.027,0.016
,,426,N/A,N/A,N/A,0.036,0.049,0.033,0.040,0.032,0.042,0.032,0.018
,,427,N/A,N/A,N/A,0.042,0.058,0.039,0.047,0.038,0.049,0.037,0.022
,,428,N/A,N/A,N/A,0.049,0.067,0.045,0.055,0.044,0.058,0.043,0.025
,,429,N/A,N/A,N/A,0.056,0.078,0.053,0.064,0.051,0.067,0.051,0.030
,,430,N/A,N/A,N/A,0.066,0.091,0.062,0.075,0.060,0.078,0.059,0.035
,,431,N/A,N/A,N/A,0.076,0.106,0.072,0.087,0.069,0.091,0.068,0.041
,,432,N/A,N/A,N/A,0.088,0.123,0.083,0.101,0.080,0.105,0.079,0.047
,,433,N/A,N/A,N/A,0.102,0.142,0.096,0.117,0.092,0.122,0.092,0.055
,,434,N/A,N/A,N/A,0.117,0.164,0.110,0.135,0.107,0.141,0.106,0.064
,,435,N/A,N/A,N/A,0.135,0.189,0.127,0.156,0.123,0.163,0.123,0.073
,,436,N/A,N/A,N/A,0.154,0.217,0.145,0.179,0.140,0.186,0.140,0.084
,,437,N/A,N/A,N/A,0.176,0.248,0.165,0.204,0.160,0.213,0.160,0.096
,,438,N/A,N/A,N/A,0.199,0.281,0.188,0.232,0.181,0.242,0.182,0.109
,,439,N/A,N/A,N/A,0.225,0.319,0.212,0.263,0.206,0.275,0.206,0.124
,,440,N/A,N/A,N/A,0.254,0.361,0.239,0.297,0.232,0.312,0.233,0.141
,,441,N/A,N/A,N/A,0.286,0.407,0.269,0.335,0.262,0.352,0.262,0.159
,,442,N/A,N/A,N/A,0.320,0.456,0.302,0.377,0.294,0.397,0.295,0.179
,,443,N/A,N/A,N/A,0.356,0.509,0.337,0.421,0.328,0.444,0.329,0.201
,,444,N/A,N/A,N/A,0.395,0.565,0.374,0.468,0.365,0.494,0.366,0.223
,,445,N/A,N/A,N/A,0.436,0.625,0.413,0.519,0.404,0.548,0.404,0.248
,,446,N/A,N/A,N/A,0.476,0.685,0.452,0.569,0.443,0.603,0.443,0.272
,,447,N/A,N/A,N/A,0.516,0.744,0.490,0.618,0.481,0.656,0.481,0.296
,,448,N/A,N/A,N/A,0.553,0.800,0.526,0.665,0.516,0.706,0.517,0.318
,,449,N/A,N/A,N/A,0.587,0.850,0.558,0.707,0.549,0.752,0.549,0.339
,,450,N/A,N/A,N/A,0.615,0.893,0.585,0.744,0.577,0.792,0.577,0.357
,,451,N/A,N/A,N/A,0.636,0.925,0.606,0.772,0.598,0.822,0.598,0.371
,,452,N/A,N/A,N/A,0.649,0.947,0.620,0.791,0.611,0.843,0.612,0.380
,,453,N/A,N/A,N/A,0.654,0.956,0.625,0.800,0.616,0.851,0.617,0.385
,,454,N/A,N/A,N/A,0.651,0.953,0.622,0.798,0.613,0.850,0.614,0.384
,,455,N/A,N/A,N/A,0.639,0.938,0.611,0.786,0.603,0.838,0.603,0.378
,,456,N/A,N/A,N/A,0.618,0.909,0.592,0.762,0.584,0.813,0.584,0.367
,,457,N/A,N/A,N/A,0.591,0.872,0.566,0.731,0.560,0.781,0.560,0.352
,,458,N/A,N/A,N/A,0.559,0.827,0.537,0.694,0.530,0.741,0.530,0.334
,,459,N/A,N/A,N/A,0.524,0.776,0.503,0.652,0.498,0.697,0.497,0.314
,,460,N/A,N/A,N/A,0.487,0.722,0.467,0.607,0.462,0.649,0.461,0.292
,,461,N/A,N/A,N/A,0.448,0.667,0.430,0.560,0.426,0.599,0.425,0.269
,,462,N/A,N/A,N/A,0.411,0.613,0.395,0.515,0.391,0.551,0.389,0.247
,,463,N/A,N/A,N/A,0.376,0.561,0.360,0.471,0.357,0.505,0.355,0.226
,,464,N/A,N/A,N/A,0.343,0.513,0.328,0.430,0.327,0.462,0.323,0.206
,,465,N/A,N/A,N/A,0.312,0.469,0.299,0.392,0.298,0.423,0.295,0.188
,,466,N/A,N/A,N/A,0.285,0.428,0.272,0.358,0.272,0.386,0.269,0.172
,,467,N/A,N/A,N/A,0.260,0.392,0.248,0.327,0.248,0.353,0.245,0.158
,,468,N/A,N/A,N/A,0.237,0.358,0.226,0.299,0.226,0.323,0.224,0.144
,,469,N/A,N/A,N/A,0.217,0.328,0.207,0.274,0.207,0.296,0.205,0.132
,,470,N/A,N/A,N/A,0.198,0.300,0.189,0.251,0.189,0.271,0.188,0.121
,,471,N/A,N/A,N/A,0.181,0.275,0.173,0.230,0.173,0.249,0.172,0.111
,,472,N/A,N/A,N/A,0.165,0.251,0.158,0.211,0.158,0.227,0.157,0.102
,,473,N/A,N/A,N/A,0.150,0.229,0.144,0.192,0.144,0.208,0.143,0.093
,,474,N/A,N/A,N/A,0.136,0.208,0.131,0.175,0.131,0.189,0.130,0.085
,,475,N/A,N/A,N/A,0.123,0.188,0.119,0.159,0.118,0.171,0.117,0.077
,,476,N/A,N/A,N/A,0.111,0.170,0.107,0.144,0.107,0.155,0.106,0.069
,,477,N/A,N/A,N/A,0.100,0.154,0.096,0.130,0.096,0.140,0.096,0.063
,,478,N/A,N/A,N/A,0.090,0.139,0.087,0.117,0.087,0.126,0.086,0.057
,,479,N/A,N/A,N/A,0.081,0.125,0.078,0.105,0.078,0.114,0.077,0.051
,,480,N/A,N/A,N/A,0.073,0.113,0.070,0.095,0.070,0.103,0.069,0.046
,,481,N/A,N/A,N/A,0.066,0.102,0.063,0.085,0.063,0.092,0.062,0.041
,,482,N/A,N/A,N/A,0.059,0.092,0.056,0.077,0.057,0.083,0.056,0.037
,,483,N/A,N/A,N/A,0.054,0.083,0.051,0.070,0.051,0.075,0.051,0.034
,,484,N/A,N/A,N/A,0.049,0.076,0.046,0.064,0.046,0.069,0.046,0.031
,,485,N/A,N/A,N/A,0.045,0.070,0.042,0.058,0.042,0.063,0.042,0.028
,,486,N/A,N/A,N/A,0.041,0.064,0.039,0.053,0.039,0.058,0.038,0.026
,,487,N/A,N/A,N/A,0.038,0.059,0.036,0.049,0.036,0.053,0.035,0.024
,,488,N/A,N/A,N/A,0.035,0.055,0.033,0.046,0.033,0.049,0.032,0.022
,,489,N/A,N/A,N/A,0.032,0.051,0.031,0.042,0.030,0.045,0.030,0.020
,,490,N/A,N/A,N/A,0.030,0.047,0.028,0.039,0.028,0.042,0.027,0.018
,,491,N/A,N/A,N/A,0.028,0.044,0.026,0.037,0.026,0.039,0.025,0.017
,,492,N/A,N/A,N/A,0.026,0.041,0.025,0.034,0.024,0.037,0.024,0.016
,,493,N/A,N/A,N/A,0.024,0.039,0.023,0.032,0.023,0.034,0.022,0.015
,,494,N/A,N/A,N/A,0.023,0.037,0.022,0.030,0.021,0.032,0.021,0.014
,,495,N/A,N/A,N/A,0.022,0.035,0.021,0.029,0.020,0.031,0.020,0.013
,,496,N/A,N/A,N/A,0.021,0.033,0.020,0.028,0.019,0.029,0.019,0.013
,,497,N/A,N/A,N/A,0.020,0.032,0.019,0.026,0.018,0.028,0.018,0.012
,,498,N/A,N/A,N/A,0.019,0.031,0.018,0.026,0.018,0.027,0.017,0.012
,,499,N/A,N/A,N/A,0.018,0.030,0.018,0.025,0.017,0.026,0.017,0.011
,,500,N/A,N/A,N/A,0.018,0.029,0.017,0.024,0.017,0.025,0.016,0.011
,,501,N/A,N/A,N/A,0.018,0.029,0.017,0.024,0.016,0.025,0.016,0.011
,,502,N/A,N/A,N/A,0.018,0.029,0.017,0.024,0.016,0.025,0.016,0.011
,,503,N/A,N/A,N/A,0.018,0.029,0.017,0.024,0.016,0.025,0.016,0.011
,,504,N/A,N/A,N/A,0.018,0.029,0.017,0.024,0.016,0.025,0.016,0.011
,,505,N/A,N/A,N/A,0.018,0.030,0.017,0.024,0.016,0.025,0.016,0.011
,,506,N/A,N/A,N/A,0.018,0.030,0.017,0.025,0.016,0.025,0.016,0.011
,,507,N/A,N/A,N/A,0.019,0.030,0.018,0.025,0.016,0.025,0.016,0.011
,,508,N/A,N/A,N/A,0.019,0.031,0.018,0.026,0.017,0.026,0.016,0.011
,,509,N/A,N/A,N/A,0.019,0.032,0.018,0.026,0.017,0.026,0.017,0.012
,,510,N/A,N/A,N/A,0.020,0.032,0.019,0.027,0.017,0.027,0.017,0.012
,,511,N/A,N/A,N/A,0.020,0.033,0.019,0.028,0.018,0.027,0.017,0.012
,,512,N/A,N/A,N/A,0.021,0.034,0.020,0.029,0.018,0.028,0.018,0.012
,,513,N/A,N/A,N/A,0.021,0.035,0.020,0.030,0.018,0.029,0.018,0.013
,,514,N/A,N/A,N/A,0.022,0.037,0.021,0.031,0.019,0.029,0.019,0.013
,,515,N/A,N/A,N/A,0.023,0.038,0.022,0.031,0.019,0.030,0.019,0.014
,,516,N/A,N/A,N/A,0.024,0.040,0.022,0.032,0.020,0.031,0.020,0.014
,,517,N/A,N/A,N/A,0.025,0.041,0.023,0.033,0.020,0.032,0.020,0.014
,,518,N/A,N/A,N/A,0.025,0.042,0.024,0.035,0.021,0.033,0.021,0.015
,,519,N/A,N/A,N/A,0.026,0.044,0.024,0.036,0.022,0.034,0.022,0.015
,,520,N/A,N/A,N/A,0.027,0.045,0.025,0.037,0.022,0.035,0.022,0.016
,,521,N/A,N/A,N/A,0.028,0.047,0.026,0.038,0.023,0.036,0.023,0.016
,,522,N/A,N/A,N/A,0.029,0.048,0.027,0.039,0.023,0.037,0.023,0.017
,,523,N/A,N/A,N/A,0.029,0.049,0.027,0.040,0.024,0.038,0.024,0.017
,,524,N/A,N/A,N/A,0.030,0.050,0.028,0.041,0.025,0.039,0.024,0.017
,,525,N/A,N/A,N/A,0.030,0.051,0.028,0.042,0.025,0.040,0.025,0.018
,,526,N/A,N/A,N/A,0.031,0.052,0.029,0.043,0.025,0.041,0.025,0.018
,,527,N/A,N/A,N/A,0.031,0.053,0.030,0.044,0.026,0.042,0.025,0.018
,,528,N/A,N/A,N/A,0.032,0.054,0.030,0.045,0.026,0.042,0.025,0.018
,,529,N/A,N/A,N/A,0.032,0.054,0.030,0.045,0.026,0.043,0.026,0.019
,,530,N/A,N/A,N/A,0.032,0.055,0.031,0.046,0.027,0.043,0.026,0.019
,,531,N/A,N/A,N/A,0.032,0.056,0.031,0.047,0.027,0.044,0.026,0.019
,,532,N/A,N/A,N/A,0.033,0.056,0.031,0.047,0.027,0.044,0.027,0.019
,,533,N/A,N/A,N/A,0.033,0.057,0.032,0.048,0.028,0.045,0.027,0.020
,,534,N/A,N/A,N/A,0.034,0.058,0.032,0.049,0.028,0.046,0.027,0.020
,,535,N/A,N/A,N/A,0.034,0.059,0.033,0.049,0.028,0.046,0.028,0.021
,,536,N/A,N/A,N/A,0.034,0.059,0.033,0.050,0.029,0.047,0.029,0.021
,,537,N/A,N/A,N/A,0.035,0.060,0.033,0.051,0.029,0.048,0.029,0.021
,,538,N/A,N/A,N/A,0.035,0.061,0.034,0.051,0.030,0.049,0.030,0.022
,,539,N/A,N/A,N/A,0.035,0.062,0.034,0.052,0.030,0.050,0.030,0.022
,,540,N/A,N/A,N/A,0.036,0.063,0.035,0.053,0.031,0.051,0.031,0.023
,,541,N/A,N/A,N/A,0.037,0.064,0.035,0.054,0.031,0.052,0.031,0.023
,,542,N/A,N/A,N/A,0.037,0.065,0.036,0.055,0.032,0.053,0.032,0.024
,,543,N/A,N/A,N/A,0.038,0.066,0.036,0.055,0.032,0.053,0.032,0.024
,,544,N/A,N/A,N/A,0.038,0.067,0.036,0.056,0.033,0.054,0.032,0.024
,,545,N/A,N/A,N/A,0.039,0.068,0.037,0.057,0.033,0.055,0.033,0.025
,,546,N/A,N/A,N/A,0.039,0.069,0.037,0.057,0.033,0.056,0.033,0.025
,,547,N/A,N/A,N/A,0.039,0.069,0.037,0.058,0.034,0.056,0.033,0.025
,,548,N/A,N/A,N/A,0.040,0.070,0.038,0.058,0.034,0.056,0.034,0.025
,,549,N/A,N/A,N/A,0.040,0.071,0.038,0.059,0.034,0.057,0.034,0.026
,,550,N/A,N/A,N/A,0.040,0.072,0.038,0.060,0.034,0.057,0.034,0.026
,,551,N/A,N/A,N/A,0.041,0.072,0.038,0.060,0.034,0.058,0.034,0.026
,,552,N/A,N/A,N/A,0.041,0.073,0.038,0.060,0.034,0.058,0.035,0.026
,,553,N/A,N/A,N/A,0.041,0.073,0.038,0.060,0.034,0.058,0.035,0.026
,,554,N/A,N/A,N/A,0.041,0.074,0.038,0.060,0.034,0.058,0.035,0.027
,,555,N/A,N/A,N/A,0.041,0.074,0.039,0.061,0.034,0.058,0.035,0.027
,,556,N/A,N/A,N/A,0.042,0.075,0.039,0.061,0.034,0.058,0.035,0.027
,,557,N/A,N/A,N/A,0.042,0.075,0.039,0.061,0.035,0.059,0.035,0.027
,,558,N/A,N/A,N/A,0.042,0.076,0.039,0.062,0.035,0.059,0.035,0.027
,,559,N/A,N/A,N/A,0.042,0.076,0.040,0.062,0.035,0.060,0.035,0.027
,,560,N/A,N/A,N/A,0.043,0.077,0.040,0.063,0.035,0.060,0.035,0.027
,,561,N/A,N/A,N/A,0.043,0.078,0.040,0.063,0.035,0.061,0.035,0.027
,,562,N/A,N/A,N/A,0.043,0.078,0.040,0.064,0.036,0.061,0.036,0.028
,,563,N/A,N/A,N/A,0.043,0.078,0.040,0.064,0.036,0.062,0.036,0.028
,,564,N/A,N/A,N/A,0.043,0.079,0.041,0.065,0.036,0.062,0.036,0.028
,,565,N/A,N/A,N/A,0.043,0.079,0.041,0.066,0.036,0.062,0.036,0.028
,,566,N/A,N/A,N/A,0.043,0.079,0.041,0.066,0.036,0.063,0.036,0.028
,,567,N/A,N/A,N/A,0.044,0.080,0.041,0.066,0.037,0.063,0.036,0.028
,,568,N/A,N/A,N/A,0.044,0.080,0.041,0.066,0.037,0.064,0.036,0.028
,,569,N/A,N/A,N/A,0.044,0.080,0.041,0.066,0.037,0.064,0.037,0.029
,,570,N/A,N/A,N/A,0.044,0.081,0.041,0.066,0.037,0.064,0.037,0.029
,,571,N/A,N/A,N/A,0.044,0.081,0.041,0.066,0.037,0.064,0.037,0.029
,,572,N/A,N/A,N/A,0.044,0.081,0.041,0.066,0.037,0.064,0.036,0.029
,,573,N/A,N/A,N/A,0.044,0.081,0.041,0.066,0.037,0.064,0.036,0.029
,,574,N/A,N/A,N/A,0.044,0.081,0.041,0.066,0.037,0.064,0.036,0.029
,,575,N/A,N/A,N/A,0.044,0.081,0.041,0.066,0.037,0.065,0.036,0.029
,,576,N/A,N/A,N/A,0.044,0.082,0.041,0.066,0.037,0.065,0.036,0.029
,,577,N/A,N/A,N/A,0.044,0.082,0.041,0.066,0.037,0.065,0.036,0.029
,,578,N/A,N/A,N/A,0.044,0.082,0.041,0.067,0.037,0.065,0.036,0.029
,,579,N/A,N/A,N/A,0.044,0.083,0.041,0.067,0.037,0.065,0.036,0.029
,,580,N/A,N/A,N/A,0.044,0.083,0.041,0.067,0.037,0.066,0.036,0.029
,,581,N/A,N/A,N/A,0.045,0.083,0.041,0.068,0.037,0.066,0.036,0.029
,,582,N/A,N/A,N/A,0.045,0.084,0.041,0.068,0.037,0.066,0.037,0.029
,,583,N/A,N/A,N/A,0.045,0.084,0.042,0.069,0.037,0.067,0.037,0.030
,,584,N/A,N/A,N/A,0.045,0.085,0.042,0.069,0.038,0.067,0.037,0.030
,,585,N/A,N/A,N/A,0.046,0.086,0.042,0.070,0.038,0.068,0.037,0.030
,,586,N/A,N/A,N/A,0.046,0.087,0.043,0.071,0.038,0.068,0.038,0.030
,,587,N/A,N/A,N/A,0.046,0.087,0.043,0.072,0.038,0.069,0.038,0.031
,,588,N/A,N/A,N/A,0.046,0.088,0.044,0.073,0.039,0.069,0.038,0.031
,,589,N/A,N/A,N/A,0.046,0.088,0.044,0.073,0.039,0.070,0.038,0.031
,,590,N/A,N/A,N/A,0.046,0.089,0.044,0.073,0.039,0.070,0.039,0.031
,,591,N/A,N/A,N/A,0.047,0.089,0.044,0.074,0.039,0.071,0.039,0.032
,,592,N/A,N/A,N/A,0.047,0.089,0.044,0.074,0.039,0.071,0.039,0.032
,,593,N/A,N/A,N/A,0.047,0.089,0.045,0.075,0.039,0.071,0.039,0.032
,,594,N/A,N/A,N/A,0.047,0.089,0.045,0.075,0.040,0.072,0.039,0.032
,,595,N/A,N/A,N/A,0.047,0.089,0.045,0.075,0.040,0.072,0.039,0.032
,,596,N/A,N/A,N/A,0.046,0.089,0.045,0.075,0.040,0.073,0.040,0.032
,,597,N/A,N/A,N/A,0.046,0.089,0.045,0.075,0.040,0.073,0.040,0.032
,,598,N/A,N/A,N/A,0.046,0.090,0.045,0.075,0.040,0.073,0.040,0.033
,,599,N/A,N/A,N/A,0.046,0.090,0.045,0.075,0.040,0.074,0.039,0.033
,,600,N/A,N/A,N/A,0.046,0.090,0.045,0.076,0.040,0.074,0.039,0.033
,,601,N/A,N/A,N/A,0.046,0.090,0.045,0.076,0.041,0.074,0.040,0.033
,,602,N/A,N/A,N/A,0.047,0.091,0.045,0.076,0.041,0.075,0.040,0.033
,,603,N/A,N/A,N/A,0.047,0.092,0.045,0.077,0.041,0.076,0.040,0.033
,,604,N/A,N/A,N/A,0.048,0.093,0.046,0.078,0.041,0.076,0.040,0.033
,,605,N/A,N/A,N/A,0.048,0.094,0.046,0.079,0.042,0.078,0.041,0.034
,,606,N/A,N/A,N/A,0.049,0.096,0.047,0.080,0.043,0.079,0.041,0.034
,,607,N/A,N/A,N/A,0.050,0.098,0.047,0.081,0.043,0.080,0.042,0.035
,,608,N/A,N/A,N/A,0.051,0.100,0.048,0.083,0.044,0.082,0.043,0.036
,,609,N/A,N/A,N/A,0.052,0.102,0.049,0.085,0.045,0.084,0.044,0.037
,,610,N/A,N/A,N/A,0.053,0.105,0.051,0.087,0.047,0.087,0.045,0.038
,,611,N/A,N/A,N/A,0.055,0.108,0.052,0.090,0.048,0.090,0.047,0.039
,,612,N/A,N/A,N/A,0.057,0.112,0.054,0.093,0.050,0.093,0.049,0.041
,,613,N/A,N/A,N/A,0.058,0.115,0.055,0.096,0.051,0.096,0.050,0.043
,,614,N/A,N/A,N/A,0.060,0.119,0.057,0.099,0.053,0.100,0.052,0.044
,,615,N/A,N/A,N/A,0.062,0.123,0.059,0.103,0.055,0.104,0.054,0.046
,,616,N/A,N/A,N/A,0.064,0.127,0.061,0.107,0.058,0.108,0.057,0.048
,,617,N/A,N/A,N/A,0.066,0.132,0.064,0.111,0.060,0.113,0.059,0.050
,,618,N/A,N/A,N/A,0.069,0.137,0.066,0.115,0.062,0.117,0.061,0.052
,,619,N/A,N/A,N/A,0.071,0.142,0.068,0.119,0.065,0.122,0.064,0.054
,,620,N/A,N/A,N/A,0.074,0.147,0.071,0.124,0.067,0.127,0.066,0.056
,,621,N/A,N/A,N/A,0.076,0.153,0.073,0.129,0.070,0.132,0.069,0.059
,,622,N/A,N/A,N/A,0.079,0.159,0.076,0.134,0.072,0.138,0.071,0.061
,,623,N/A,N/A,N/A,0.082,0.165,0.079,0.139,0.075,0.143,0.074,0.064
,,624,N/A,N/A,N/A,0.085,0.171,0.082,0.145,0.079,0.150,0.077,0.066
,,625,N/A,N/A,N/A,0.088,0.177,0.085,0.150,0.082,0.156,0.080,0.069
,,626,N/A,N/A,N/A,0.091,0.184,0.089,0.157,0.085,0.163,0.083,0.072
,,627,N/A,N/A,N/A,0.094,0.191,0.092,0.163,0.089,0.170,0.087,0.075
,,628,N/A,N/A,N/A,0.098,0.199,0.096,0.171,0.093,0.178,0.091,0.079
,,629,N/A,N/A,N/A,0.102,0.207,0.100,0.178,0.097,0.187,0.095,0.082
,,630,N/A,N/A,N/A,0.107,0.218,0.105,0.187,0.102,0.197,0.100,0.087
,,631,N/A,N/A,N/A,0.112,0.229,0.111,0.197,0.108,0.208,0.106,0.092
,,632,N/A,N/A,N/A,0.118,0.241,0.117,0.208,0.114,0.220,0.112,0.097
,,633,N/A,N/A,N/A,0.125,0.256,0.124,0.221,0.121,0.234,0.119,0.104
,,634,N/A,N/A,N/A,0.133,0.272,0.131,0.235,0.129,0.250,0.127,0.111
,,635,N/A,N/A,N/A,0.142,0.291,0.140,0.252,0.138,0.268,0.136,0.119
,,636,N/A,N/A,N/A,0.152,0.313,0.151,0.271,0.149,0.289,0.147,0.128
,,637,N/A,N/A,N/A,0.165,0.338,0.163,0.293,0.161,0.313,0.159,0.139
,,638,N/A,N/A,N/A,0.178,0.367,0.176,0.317,0.175,0.340,0.173,0.151
,,639,N/A,N/A,N/A,0.194,0.400,0.191,0.345,0.190,0.371,0.188,0.165
,,640,N/A,N/A,N/A,0.211,0.436,0.209,0.377,0.208,0.406,0.206,0.181
,,641,N/A,N/A,N/A,0.231,0.477,0.228,0.413,0.228,0.445,0.225,0.199
,,642,N/A,N/A,N/A,0.252,0.523,0.250,0.452,0.249,0.489,0.247,0.218
,,643,N/A,N/A,N/A,0.277,0.574,0.273,0.496,0.273,0.537,0.270,0.239
,,644,N/A,N/A,N/A,0.303,0.629,0.299,0.544,0.300,0.589,0.296,0.263
,,645,N/A,N/A,N/A,0.331,0.689,0.327,0.596,0.328,0.645,0.324,0.288
,,646,N/A,N/A,N/A,0.362,0.754,0.358,0.653,0.358,0.706,0.355,0.315
,,647,N/A,N/A,N/A,0.394,0.823,0.390,0.713,0.391,0.771,0.387,0.345
,,648,N/A,N/A,N/A,0.428,0.896,0.425,0.777,0.425,0.841,0.422,0.376
,,649,N/A,N/A,N/A,0.465,0.974,0.461,0.845,0.462,0.915,0.459,0.409
,,650,N/A,N/A,N/A,0.504,1.057,0.500,0.917,0.501,0.994,0.498,0.445
,,651,N/A,N/A,N/A,0.545,1.145,0.540,0.993,0.542,1.077,0.539,0.483
,,652,N/A,N/A,N/A,0.588,1.238,0.583,1.074,0.585,1.165,0.583,0.523
,,653,N/A,N/A,N/A,0.634,1.335,0.629,1.159,0.631,1.257,0.628,0.564
,,654,N/A,N/A,N/A,0.681,1.436,0.676,1.248,0.678,1.353,0.676,0.608
,,655,N/A,N/A,N/A,0.729,1.541,0.725,1.340,0.726,1.452,0.725,0.654
,,656,N/A,N/A,N/A,0.778,1.648,0.774,1.433,0.776,1.554,0.776,0.700
,,657,N/A,N/A,N/A,0.827,1.752,0.822,1.525,0.825,1.654,0.825,0.746
,,658,N/A,N/A,N/A,0.872,1.852,0.868,1.613,0.871,1.749,0.871,0.789
,,659,N/A,N/A,N/A,0.914,1.943,0.910,1.694,0.912,1.835,0.913,0.828
,,660,N/A,N/A,N/A,0.949,2.021,0.946,1.764,0.948,1.909,0.949,0.862
,,661,N/A,N/A,N/A,0.976,2.082,0.974,1.819,0.975,1.968,0.977,0.888
,,662,N/A,N/A,N/A,0.993,2.122,0.993,1.856,0.993,2.007,0.994,0.905
,,663,N/A,N/A,N/A,1.000,2.139,1.000,1.872,1.000,2.023,1.000,0.912
,,664,N/A,N/A,N/A,0.995,2.131,0.995,1.866,0.995,2.016,0.994,0.909
