Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd,Test 2 - raw,Test 2 - ppfd,Test 3 - raw,Test 3 - ppfd,Test 4 - raw,Test 4 - ppfd
,,428,N/A,N/A,N/A,0.048,0.068,0.046,0.036,0.045,0.059,0.051,0.022
,,429,N/A,N/A,N/A,0.055,0.079,0.054,0.042,0.053,0.069,0.059,0.026
,,430,N/A,N/A,N/A,0.064,0.092,0.062,0.049,0.062,0.081,0.069,0.030
,,431,N/A,N/A,N/A,0.075,0.107,0.073,0.057,0.072,0.094,0.080,0.036
,,432,N/A,N/A,N/A,0.087,0.125,0.084,0.066,0.083,0.110,0.093,0.041
,,433,N/A,N/A,N/A,0.100,0.144,0.097,0.077,0.096,0.127,0.107,0.048
,,434,N/A,N/A,N/A,0.115,0.167,0.112,0.089,0.110,0.146,0.124,0.055
,,435,N/A,N/A,N/A,0.132,0.192,0.129,0.102,0.126,0.168,0.142,0.064
,,436,N/A,N/A,N/A,0.151,0.219,0.147,0.117,0.145,0.193,0.163,0.073
,,437,N/A,N/A,N/A,0.172,0.250,0.168,0.134,0.165,0.220,0.185,0.083
,,438,N/A,N/A,N/A,0.195,0.284,0.191,0.152,0.187,0.251,0.210,0.094
,,439,N/A,N/A,N/A,0.221,0.322,0.216,0.173,0.212,0.285,0.238,0.107
,,440,N/A,N/A,N/A,0.249,0.364,0.244,0.195,0.240,0.323,0.268,0.121
,,441,N/A,N/A,N/A,0.280,0.411,0.275,0.221,0.271,0.365,0.302,0.137
,,442,N/A,N/A,N/A,0.315,0.463,0.309,0.248,0.304,0.411,0.338,0.154
,,443,N/A,N/A,N/A,0.351,0.518,0.344,0.278,0.340,0.460,0.377,0.172
,,444,N/A,N/A,N/A,0.390,0.576,0.382,0.309,0.377,0.513,0.418,0.191
,,445,N/A,N/A,N/A,0.431,0.637,0.423,0.343,0.417,0.568,0.462,0.211
,,446,N/A,N/A,N/A,0.472,0.700,0.463,0.376,0.457,0.624,0.506,0.232
,,447,N/A,N/A,N/A,0.512,0.761,0.503,0.409,0.496,0.678,0.549,0.252
,,448,N/A,N/A,N/A,0.550,0.820,0.540,0.441,0.532,0.730,0.590,0.271
,,449,N/A,N/A,N/A,0.585,0.874,0.574,0.469,0.565,0.777,0.626,0.289
,,450,N/A,N/A,N/A,0.615,0.920,0.602,0.493,0.592,0.816,0.657,0.304
,,451,N/A,N/A,N/A,0.637,0.955,0.623,0.512,0.613,0.846,0.681,0.316
,,452,N/A,N/A,N/A,0.651,0.979,0.637,0.524,0.626,0.867,0.696,0.323
,,453,N/A,N/A,N/A,0.657,0.989,0.643,0.530,0.631,0.875,0.702,0.327
,,454,N/A,N/A,N/A,0.654,0.987,0.641,0.529,0.629,0.874,0.700,0.326
,,455,N/A,N/A,N/A,0.643,0.972,0.630,0.522,0.618,0.861,0.688,0.322
,,456,N/A,N/A,N/A,0.623,0.945,0.611,0.507,0.599,0.836,0.667,0.312
,,457,N/A,N/A,N/A,0.597,0.907,0.585,0.487,0.574,0.802,0.639,0.300
,,458,N/A,N/A,N/A,0.566,0.862,0.554,0.462,0.544,0.762,0.605,0.285
,,459,N/A,N/A,N/A,0.531,0.810,0.520,0.434,0.510,0.716,0.568,0.268
,,460,N/A,N/A,N/A,0.493,0.755,0.483,0.405,0.474,0.667,0.528,0.249
,,461,N/A,N/A,N/A,0.455,0.697,0.446,0.374,0.437,0.617,0.487,0.230
,,462,N/A,N/A,N/A,0.418,0.642,0.410,0.345,0.401,0.568,0.447,0.212
,,463,N/A,N/A,N/A,0.382,0.588,0.375,0.316,0.367,0.520,0.408,0.194
,,464,N/A,N/A,N/A,0.349,0.538,0.342,0.289,0.335,0.475,0.372,0.178
,,465,N/A,N/A,N/A,0.318,0.492,0.312,0.264,0.305,0.434,0.340,0.162
,,466,N/A,N/A,N/A,0.291,0.450,0.284,0.241,0.277,0.396,0.310,0.148
,,467,N/A,N/A,N/A,0.265,0.412,0.259,0.221,0.253,0.361,0.283,0.136
,,468,N/A,N/A,N/A,0.243,0.378,0.237,0.202,0.231,0.330,0.258,0.124
,,469,N/A,N/A,N/A,0.222,0.346,0.217,0.185,0.211,0.302,0.236,0.114
,,470,N/A,N/A,N/A,0.203,0.318,0.198,0.169,0.193,0.277,0.216,0.104
,,471,N/A,N/A,N/A,0.186,0.291,0.181,0.155,0.176,0.254,0.198,0.096
,,472,N/A,N/A,N/A,0.170,0.266,0.165,0.142,0.160,0.232,0.181,0.088
,,473,N/A,N/A,N/A,0.155,0.243,0.150,0.129,0.146,0.211,0.165,0.080
,,474,N/A,N/A,N/A,0.141,0.222,0.136,0.118,0.133,0.192,0.150,0.073
,,475,N/A,N/A,N/A,0.127,0.201,0.124,0.107,0.120,0.175,0.136,0.066
,,476,N/A,N/A,N/A,0.115,0.182,0.112,0.097,0.109,0.158,0.123,0.060
,,477,N/A,N/A,N/A,0.104,0.165,0.101,0.087,0.098,0.143,0.110,0.054
,,478,N/A,N/A,N/A,0.094,0.149,0.091,0.079,0.088,0.129,0.099,0.049
,,479,N/A,N/A,N/A,0.084,0.134,0.082,0.071,0.079,0.116,0.090,0.044
,,480,N/A,N/A,N/A,0.076,0.121,0.073,0.064,0.071,0.105,0.080,0.040
,,481,N/A,N/A,N/A,0.068,0.109,0.066,0.058,0.064,0.094,0.072,0.036
,,482,N/A,N/A,N/A,0.061,0.098,0.059,0.052,0.058,0.085,0.065,0.032
,,483,N/A,N/A,N/A,0.056,0.089,0.054,0.047,0.052,0.077,0.059,0.029
,,484,N/A,N/A,N/A,0.051,0.081,0.049,0.043,0.048,0.070,0.054,0.027
,,485,N/A,N/A,N/A,0.046,0.074,0.044,0.039,0.043,0.064,0.049,0.025
,,486,N/A,N/A,N/A,0.042,0.069,0.041,0.036,0.040,0.059,0.045,0.023
,,487,N/A,N/A,N/A,0.039,0.063,0.037,0.033,0.036,0.054,0.042,0.021
,,488,N/A,N/A,N/A,0.036,0.058,0.034,0.031,0.033,0.050,0.038,0.019
,,489,N/A,N/A,N/A,0.033,0.054,0.032,0.028,0.031,0.046,0.036,0.018
,,490,N/A,N/A,N/A,0.031,0.050,0.030,0.026,0.028,0.042,0.033,0.017
,,491,N/A,N/A,N/A,0.029,0.047,0.028,0.025,0.026,0.039,0.031,0.016
,,492,N/A,N/A,N/A,0.027,0.044,0.026,0.023,0.024,0.036,0.029,0.015
,,493,N/A,N/A,N/A,0.025,0.041,0.024,0.022,0.023,0.034,0.027,0.014
,,494,N/A,N/A,N/A,0.024,0.039,0.023,0.020,0.021,0.032,0.026,0.013
,,495,N/A,N/A,N/A,0.022,0.037,0.021,0.019,0.020,0.030,0.024,0.012
,,496,N/A,N/A,N/A,0.021,0.035,0.020,0.018,0.019,0.029,0.023,0.012
,,497,N/A,N/A,N/A,0.020,0.033,0.019,0.017,0.018,0.028,0.022,0.011
,,498,N/A,N/A,N/A,0.019,0.032,0.019,0.017,0.018,0.027,0.021,0.011
,,499,N/A,N/A,N/A,0.019,0.031,0.018,0.016,0.017,0.026,0.021,0.011
,,500,N/A,N/A,N/A,0.018,0.031,0.017,0.016,0.017,0.026,0.020,0.010
,,501,N/A,N/A,N/A,0.018,0.030,0.017,0.016,0.017,0.025,0.020,0.010
,,502,N/A,N/A,N/A,0.018,0.030,0.017,0.015,0.017,0.025,0.020,0.010
,,503,N/A,N/A,N/A,0.018,0.030,0.017,0.015,0.016,0.025,0.020,0.010
,,504,N/A,N/A,N/A,0.018,0.030,0.017,0.015,0.017,0.026,0.020,0.010
,,505,N/A,N/A,N/A,0.018,0.030,0.017,0.015,0.017,0.026,0.020,0.010
,,506,N/A,N/A,N/A,0.018,0.030,0.017,0.016,0.017,0.026,0.020,0.011
,,507,N/A,N/A,N/A,0.018,0.031,0.017,0.016,0.017,0.026,0.021,0.011
,,508,N/A,N/A,N/A,0.019,0.031,0.017,0.016,0.017,0.026,0.021,0.011
,,509,N/A,N/A,N/A,0.019,0.032,0.018,0.017,0.017,0.026,0.022,0.011
,,510,N/A,N/A,N/A,0.019,0.033,0.018,0.017,0.017,0.027,0.022,0.012
,,511,N/A,N/A,N/A,0.020,0.034,0.019,0.018,0.018,0.027,0.023,0.012
,,512,N/A,N/A,N/A,0.020,0.034,0.019,0.018,0.018,0.028,0.024,0.013
,,513,N/A,N/A,N/A,0.021,0.035,0.020,0.019,0.018,0.029,0.025,0.013
,,514,N/A,N/A,N/A,0.021,0.037,0.021,0.019,0.019,0.029,0.025,0.013
,,515,N/A,N/A,N/A,0.022,0.038,0.021,0.020,0.019,0.030,0.026,0.014
,,516,N/A,N/A,N/A,0.023,0.039,0.022,0.021,0.020,0.031,0.027,0.014
,,517,N/A,N/A,N/A,0.024,0.040,0.023,0.022,0.020,0.032,0.028,0.015
,,518,N/A,N/A,N/A,0.024,0.042,0.024,0.022,0.021,0.033,0.029,0.016
,,519,N/A,N/A,N/A,0.025,0.043,0.025,0.023,0.021,0.034,0.030,0.016
,,520,N/A,N/A,N/A,0.026,0.044,0.025,0.024,0.022,0.035,0.031,0.016
,,521,N/A,N/A,N/A,0.026,0.046,0.026,0.025,0.023,0.036,0.031,0.017
,,522,N/A,N/A,N/A,0.027,0.047,0.027,0.025,0.023,0.037,0.032,0.017
,,523,N/A,N/A,N/A,0.028,0.048,0.027,0.026,0.024,0.038,0.033,0.018
,,524,N/A,N/A,N/A,0.028,0.049,0.028,0.027,0.024,0.038,0.033,0.018
,,525,N/A,N/A,N/A,0.029,0.050,0.029,0.027,0.024,0.039,0.034,0.018
,,526,N/A,N/A,N/A,0.029,0.051,0.029,0.028,0.025,0.040,0.034,0.019
,,527,N/A,N/A,N/A,0.030,0.052,0.030,0.028,0.025,0.040,0.035,0.019
,,528,N/A,N/A,N/A,0.030,0.053,0.030,0.029,0.025,0.041,0.035,0.019
,,529,N/A,N/A,N/A,0.030,0.053,0.030,0.029,0.025,0.041,0.036,0.019
,,530,N/A,N/A,N/A,0.031,0.054,0.031,0.030,0.026,0.041,0.036,0.020
,,531,N/A,N/A,N/A,0.031,0.054,0.031,0.030,0.026,0.042,0.037,0.020
,,532,N/A,N/A,N/A,0.031,0.055,0.032,0.031,0.026,0.042,0.037,0.020
,,533,N/A,N/A,N/A,0.031,0.056,0.032,0.031,0.026,0.043,0.037,0.021
,,534,N/A,N/A,N/A,0.032,0.056,0.032,0.032,0.027,0.044,0.038,0.021
,,535,N/A,N/A,N/A,0.032,0.057,0.033,0.032,0.027,0.045,0.039,0.021
,,536,N/A,N/A,N/A,0.032,0.058,0.033,0.033,0.028,0.045,0.039,0.022
,,537,N/A,N/A,N/A,0.033,0.058,0.034,0.033,0.028,0.046,0.039,0.022
,,538,N/A,N/A,N/A,0.033,0.059,0.035,0.034,0.029,0.047,0.040,0.022
,,539,N/A,N/A,N/A,0.033,0.060,0.035,0.034,0.029,0.048,0.040,0.022
,,540,N/A,N/A,N/A,0.034,0.061,0.036,0.035,0.030,0.049,0.041,0.023
,,541,N/A,N/A,N/A,0.034,0.062,0.036,0.036,0.030,0.050,0.042,0.023
,,542,N/A,N/A,N/A,0.035,0.063,0.037,0.036,0.031,0.051,0.042,0.023
,,543,N/A,N/A,N/A,0.035,0.064,0.037,0.037,0.031,0.052,0.043,0.024
,,544,N/A,N/A,N/A,0.036,0.065,0.038,0.037,0.032,0.053,0.043,0.024
,,545,N/A,N/A,N/A,0.036,0.066,0.038,0.038,0.032,0.054,0.044,0.024
,,546,N/A,N/A,N/A,0.037,0.067,0.039,0.038,0.032,0.054,0.044,0.025
,,547,N/A,N/A,N/A,0.037,0.067,0.039,0.039,0.033,0.055,0.044,0.025
,,548,N/A,N/A,N/A,0.037,0.068,0.040,0.039,0.033,0.055,0.045,0.025
,,549,N/A,N/A,N/A,0.038,0.069,0.040,0.040,0.033,0.056,0.045,0.025
,,550,N/A,N/A,N/A,0.038,0.069,0.040,0.040,0.033,0.056,0.045,0.026
,,551,N/A,N/A,N/A,0.038,0.070,0.041,0.041,0.033,0.056,0.046,0.026
,,552,N/A,N/A,N/A,0.038,0.070,0.041,0.041,0.033,0.056,0.046,0.026
,,553,N/A,N/A,N/A,0.038,0.070,0.041,0.041,0.033,0.057,0.046,0.026
,,554,N/A,N/A,N/A,0.038,0.071,0.041,0.041,0.033,0.057,0.046,0.026
,,555,N/A,N/A,N/A,0.039,0.071,0.041,0.042,0.034,0.057,0.046,0.026
,,556,N/A,N/A,N/A,0.039,0.072,0.041,0.042,0.034,0.057,0.047,0.027
,,557,N/A,N/A,N/A,0.039,0.072,0.041,0.042,0.034,0.058,0.047,0.027
,,558,N/A,N/A,N/A,0.039,0.073,0.041,0.042,0.034,0.058,0.047,0.027
,,559,N/A,N/A,N/A,0.040,0.074,0.041,0.042,0.034,0.059,0.047,0.027
,,560,N/A,N/A,N/A,0.040,0.074,0.041,0.042,0.034,0.059,0.048,0.027
,,561,N/A,N/A,N/A,0.040,0.075,0.042,0.042,0.035,0.059,0.048,0.027
,,562,N/A,N/A,N/A,0.041,0.076,0.042,0.043,0.035,0.060,0.048,0.028
,,563,N/A,N/A,N/A,0.041,0.076,0.042,0.043,0.035,0.060,0.048,0.028
,,564,N/A,N/A,N/A,0.041,0.077,0.042,0.043,0.035,0.061,0.048,0.028
,,565,N/A,N/A,N/A,0.041,0.077,0.042,0.043,0.035,0.061,0.049,0.028
,,566,N/A,N/A,N/A,0.041,0.078,0.042,0.043,0.035,0.061,0.049,0.028
,,567,N/A,N/A,N/A,0.041,0.078,0.042,0.043,0.035,0.061,0.049,0.028
,,568,N/A,N/A,N/A,0.041,0.078,0.042,0.044,0.035,0.061,0.049,0.029
,,569,N/A,N/A,N/A,0.041,0.078,0.042,0.044,0.035,0.062,0.049,0.029
,,570,N/A,N/A,N/A,0.042,0.079,0.042,0.044,0.036,0.062,0.049,0.029
,,571,N/A,N/A,N/A,0.042,0.079,0.042,0.044,0.036,0.062,0.049,0.029
,,572,N/A,N/A,N/A,0.042,0.079,0.042,0.044,0.036,0.062,0.049,0.029
,,573,N/A,N/A,N/A,0.042,0.080,0.042,0.044,0.036,0.062,0.049,0.029
,,574,N/A,N/A,N/A,0.042,0.080,0.042,0.044,0.036,0.063,0.049,0.029
,,575,N/A,N/A,N/A,0.042,0.080,0.042,0.044,0.036,0.063,0.049,0.029
,,576,N/A,N/A,N/A,0.042,0.081,0.042,0.044,0.036,0.063,0.049,0.029
,,577,N/A,N/A,N/A,0.042,0.081,0.042,0.044,0.036,0.063,0.049,0.029
,,578,N/A,N/A,N/A,0.042,0.081,0.042,0.044,0.036,0.064,0.049,0.029
,,579,N/A,N/A,N/A,0.042,0.082,0.042,0.044,0.036,0.064,0.049,0.029
,,580,N/A,N/A,N/A,0.043,0.082,0.042,0.044,0.036,0.064,0.050,0.030
,,581,N/A,N/A,N/A,0.043,0.083,0.042,0.045,0.036,0.065,0.050,0.030
,,582,N/A,N/A,N/A,0.043,0.083,0.042,0.045,0.037,0.065,0.050,0.030
,,583,N/A,N/A,N/A,0.043,0.084,0.043,0.045,0.037,0.065,0.050,0.030
,,584,N/A,N/A,N/A,0.044,0.085,0.043,0.045,0.037,0.066,0.051,0.030
,,585,N/A,N/A,N/A,0.044,0.085,0.043,0.046,0.037,0.066,0.051,0.031
,,586,N/A,N/A,N/A,0.044,0.086,0.043,0.046,0.037,0.067,0.051,0.031
,,587,N/A,N/A,N/A,0.044,0.087,0.043,0.046,0.037,0.067,0.052,0.031
,,588,N/A,N/A,N/A,0.045,0.087,0.044,0.047,0.038,0.068,0.052,0.031
,,589,N/A,N/A,N/A,0.045,0.088,0.044,0.048,0.038,0.068,0.052,0.032
,,590,N/A,N/A,N/A,0.045,0.088,0.045,0.048,0.038,0.069,0.052,0.032
,,591,N/A,N/A,N/A,0.045,0.089,0.045,0.048,0.038,0.069,0.053,0.032
,,592,N/A,N/A,N/A,0.045,0.089,0.045,0.048,0.039,0.070,0.053,0.032
,,593,N/A,N/A,N/A,0.046,0.090,0.045,0.048,0.039,0.070,0.053,0.032
,,594,N/A,N/A,N/A,0.046,0.090,0.045,0.049,0.039,0.071,0.053,0.032
,,595,N/A,N/A,N/A,0.046,0.090,0.045,0.049,0.039,0.071,0.053,0.032
,,596,N/A,N/A,N/A,0.046,0.090,0.045,0.049,0.039,0.072,0.053,0.033
,,597,N/A,N/A,N/A,0.046,0.091,0.045,0.049,0.039,0.072,0.053,0.033
,,598,N/A,N/A,N/A,0.046,0.091,0.045,0.049,0.039,0.072,0.053,0.033
,,599,N/A,N/A,N/A,0.046,0.091,0.045,0.049,0.040,0.072,0.053,0.033
,,600,N/A,N/A,N/A,0.046,0.092,0.045,0.049,0.040,0.073,0.053,0.033
,,601,N/A,N/A,N/A,0.046,0.092,0.045,0.049,0.040,0.073,0.054,0.033
,,602,N/A,N/A,N/A,0.046,0.093,0.045,0.049,0.040,0.074,0.054,0.033
,,603,N/A,N/A,N/A,0.047,0.094,0.045,0.050,0.040,0.075,0.054,0.033
,,604,N/A,N/A,N/A,0.047,0.095,0.046,0.050,0.041,0.076,0.054,0.034
,,605,N/A,N/A,N/A,0.048,0.096,0.046,0.051,0.042,0.077,0.055,0.034
,,606,N/A,N/A,N/A,0.049,0.098,0.047,0.052,0.042,0.079,0.055,0.034
,,607,N/A,N/A,N/A,0.050,0.100,0.048,0.053,0.043,0.080,0.056,0.035
,,608,N/A,N/A,N/A,0.051,0.103,0.049,0.054,0.044,0.082,0.057,0.036
,,609,N/A,N/A,N/A,0.052,0.105,0.050,0.056,0.045,0.085,0.058,0.036
,,610,N/A,N/A,N/A,0.053,0.108,0.052,0.057,0.047,0.087,0.060,0.038
,,611,N/A,N/A,N/A,0.055,0.111,0.053,0.059,0.048,0.091,0.062,0.039
,,612,N/A,N/A,N/A,0.056,0.115,0.055,0.061,0.050,0.094,0.063,0.040
,,613,N/A,N/A,N/A,0.058,0.119,0.057,0.063,0.052,0.098,0.065,0.041
,,614,N/A,N/A,N/A,0.060,0.123,0.058,0.065,0.054,0.101,0.068,0.043
,,615,N/A,N/A,N/A,0.062,0.127,0.060,0.068,0.056,0.106,0.070,0.044
,,616,N/A,N/A,N/A,0.065,0.132,0.063,0.070,0.058,0.110,0.072,0.046
,,617,N/A,N/A,N/A,0.067,0.137,0.065,0.073,0.060,0.114,0.075,0.047
,,618,N/A,N/A,N/A,0.069,0.143,0.068,0.076,0.063,0.119,0.077,0.049
,,619,N/A,N/A,N/A,0.072,0.148,0.070,0.079,0.065,0.124,0.080,0.051
,,620,N/A,N/A,N/A,0.075,0.154,0.073,0.082,0.068,0.128,0.082,0.052
,,621,N/A,N/A,N/A,0.077,0.160,0.076,0.086,0.070,0.133,0.085,0.054
,,622,N/A,N/A,N/A,0.080,0.166,0.079,0.089,0.073,0.139,0.088,0.056
,,623,N/A,N/A,N/A,0.084,0.173,0.082,0.093,0.076,0.144,0.090,0.058
,,624,N/A,N/A,N/A,0.087,0.180,0.085,0.097,0.079,0.151,0.093,0.060
,,625,N/A,N/A,N/A,0.090,0.187,0.088,0.101,0.082,0.157,0.097,0.062
,,626,N/A,N/A,N/A,0.093,0.194,0.092,0.105,0.086,0.164,0.100,0.064
,,627,N/A,N/A,N/A,0.097,0.203,0.096,0.109,0.089,0.171,0.104,0.067
,,628,N/A,N/A,N/A,0.101,0.211,0.100,0.114,0.094,0.180,0.108,0.070
,,629,N/A,N/A,N/A,0.106,0.221,0.105,0.120,0.098,0.189,0.113,0.073
,,630,N/A,N/A,N/A,0.111,0.232,0.110,0.126,0.103,0.199,0.118,0.077
,,631,N/A,N/A,N/A,0.116,0.244,0.116,0.133,0.109,0.211,0.124,0.081
,,632,N/A,N/A,N/A,0.123,0.257,0.122,0.141,0.116,0.223,0.131,0.085
,,633,N/A,N/A,N/A,0.130,0.273,0.130,0.150,0.123,0.238,0.138,0.090
,,634,N/A,N/A,N/A,0.138,0.290,0.138,0.160,0.131,0.255,0.147,0.096
,,635,N/A,N/A,N/A,0.147,0.311,0.148,0.171,0.141,0.274,0.156,0.102
,,636,N/A,N/A,N/A,0.158,0.334,0.159,0.185,0.152,0.296,0.167,0.109
,,637,N/A,N/A,N/A,0.170,0.361,0.172,0.200,0.164,0.321,0.179,0.117
,,638,N/A,N/A,N/A,0.185,0.392,0.187,0.217,0.178,0.348,0.193,0.127
,,639,N/A,N/A,N/A,0.201,0.426,0.203,0.236,0.194,0.380,0.209,0.137
,,640,N/A,N/A,N/A,0.219,0.466,0.221,0.257,0.212,0.416,0.227,0.149
,,641,N/A,N/A,N/A,0.239,0.510,0.241,0.281,0.233,0.457,0.248,0.163
,,642,N/A,N/A,N/A,0.262,0.559,0.264,0.308,0.255,0.502,0.270,0.178
,,643,N/A,N/A,N/A,0.287,0.614,0.289,0.338,0.280,0.552,0.295,0.195
,,644,N/A,N/A,N/A,0.314,0.673,0.316,0.370,0.307,0.606,0.322,0.213
,,645,N/A,N/A,N/A,0.344,0.737,0.345,0.405,0.336,0.663,0.352,0.233
,,646,N/A,N/A,N/A,0.375,0.806,0.376,0.442,0.367,0.726,0.384,0.255
,,647,N/A,N/A,N/A,0.409,0.879,0.409,0.482,0.400,0.792,0.418,0.278
,,648,N/A,N/A,N/A,0.445,0.959,0.444,0.524,0.436,0.864,0.455,0.303
,,649,N/A,N/A,N/A,0.483,1.043,0.482,0.570,0.474,0.941,0.493,0.329
,,650,N/A,N/A,N/A,0.524,1.132,0.522,0.618,0.513,1.022,0.533,0.356
,,651,N/A,N/A,N/A,0.567,1.227,0.564,0.669,0.556,1.107,0.576,0.385
,,652,N/A,N/A,N/A,0.612,1.326,0.609,0.722,0.600,1.198,0.620,0.416
,,653,N/A,N/A,N/A,0.658,1.429,0.655,0.778,0.647,1.292,0.667,0.447
,,654,N/A,N/A,N/A,0.706,1.536,0.702,0.836,0.695,1.391,0.715,0.480
,,655,N/A,N/A,N/A,0.756,1.646,0.751,0.896,0.744,1.492,0.763,0.514
,,656,N/A,N/A,N/A,0.805,1.756,0.800,0.956,0.794,1.594,0.812,0.547
,,657,N/A,N/A,N/A,0.853,1.864,0.848,1.015,0.842,1.692,0.858,0.579
,,658,N/A,N/A,N/A,0.897,1.963,0.893,1.069,0.886,1.785,0.901,0.609
,,659,N/A,N/A,N/A,0.936,2.050,0.931,1.118,0.926,1.868,0.938,0.635
,,660,N/A,N/A,N/A,0.967,2.122,0.963,1.157,0.959,1.938,0.968,0.657
,,661,N/A,N/A,N/A,0.989,2.173,0.986,1.187,0.984,1.991,0.989,0.672
,,662,N/A,N/A,N/A,1.000,2.201,0.999,1.204,0.998,2.022,1.000,0.680
,,663,N/A,N/A,N/A,1.000,2.205,1.000,1.207,1.000,2.029,0.999,0.681
,,664,N/A,N/A,N/A,0.988,2.181,0.989,1.196,0.990,2.011,0.987,0.673
