Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd,Test 2 - raw,Test 2 - ppfd,Test 3 - raw,Test 3 - ppfd
,,453,N/A,N/A,N/A,0.631,1.063,0.648,0.857,0.636,0.726
,,454,N/A,N/A,N/A,0.629,1.061,0.647,0.857,0.635,0.726
,,455,N/A,N/A,N/A,0.619,1.046,0.638,0.847,0.626,0.717
,,456,N/A,N/A,N/A,0.600,1.017,0.619,0.824,0.608,0.698
,,457,N/A,N/A,N/A,0.575,0.977,0.594,0.793,0.584,0.672
,,458,N/A,N/A,N/A,0.546,0.929,0.564,0.754,0.555,0.640
,,459,N/A,N/A,N/A,0.513,0.874,0.530,0.710,0.522,0.603
,,460,N/A,N/A,N/A,0.477,0.815,0.494,0.663,0.486,0.563
,,461,N/A,N/A,N/A,0.440,0.754,0.457,0.614,0.449,0.522
,,462,N/A,N/A,N/A,0.404,0.694,0.420,0.566,0.414,0.481
,,463,N/A,N/A,N/A,0.369,0.635,0.385,0.520,0.379,0.442
,,464,N/A,N/A,N/A,0.337,0.581,0.352,0.476,0.346,0.405
,,465,N/A,N/A,N/A,0.308,0.532,0.321,0.435,0.316,0.370
,,466,N/A,N/A,N/A,0.281,0.486,0.293,0.398,0.289,0.339
,,467,N/A,N/A,N/A,0.256,0.445,0.267,0.364,0.264,0.310
,,468,N/A,N/A,N/A,0.234,0.407,0.244,0.334,0.241,0.284
,,469,N/A,N/A,N/A,0.214,0.373,0.223,0.306,0.221,0.261
,,470,N/A,N/A,N/A,0.196,0.342,0.204,0.280,0.202,0.239
,,471,N/A,N/A,N/A,0.179,0.313,0.187,0.257,0.185,0.220
,,472,N/A,N/A,N/A,0.163,0.287,0.171,0.235,0.169,0.201
,,473,N/A,N/A,N/A,0.149,0.262,0.156,0.215,0.154,0.184
,,474,N/A,N/A,N/A,0.135,0.239,0.142,0.196,0.141,0.168
,,475,N/A,N/A,N/A,0.123,0.217,0.129,0.178,0.128,0.153
,,476,N/A,N/A,N/A,0.111,0.196,0.116,0.162,0.115,0.138
,,477,N/A,N/A,N/A,0.100,0.177,0.105,0.146,0.104,0.125
,,478,N/A,N/A,N/A,0.090,0.160,0.095,0.132,0.094,0.113
,,479,N/A,N/A,N/A,0.081,0.145,0.086,0.120,0.085,0.102
,,480,N/A,N/A,N/A,0.073,0.130,0.077,0.108,0.076,0.092
,,481,N/A,N/A,N/A,0.066,0.117,0.070,0.098,0.069,0.083
,,482,N/A,N/A,N/A,0.059,0.106,0.063,0.088,0.062,0.075
,,483,N/A,N/A,N/A,0.054,0.096,0.057,0.080,0.056,0.068
,,484,N/A,N/A,N/A,0.049,0.088,0.052,0.073,0.051,0.062
,,485,N/A,N/A,N/A,0.045,0.080,0.048,0.067,0.047,0.057
,,486,N/A,N/A,N/A,0.041,0.074,0.044,0.062,0.043,0.052
,,487,N/A,N/A,N/A,0.038,0.068,0.040,0.057,0.039,0.048
,,488,N/A,N/A,N/A,0.035,0.063,0.037,0.053,0.036,0.045
,,489,N/A,N/A,N/A,0.032,0.058,0.034,0.049,0.033,0.041
,,490,N/A,N/A,N/A,0.030,0.054,0.032,0.046,0.031,0.038
,,491,N/A,N/A,N/A,0.028,0.050,0.030,0.042,0.029,0.035
,,492,N/A,N/A,N/A,0.026,0.047,0.028,0.040,0.027,0.033
,,493,N/A,N/A,N/A,0.024,0.044,0.026,0.037,0.025,0.031
,,494,N/A,N/A,N/A,0.023,0.042,0.024,0.035,0.024,0.029
,,495,N/A,N/A,N/A,0.021,0.039,0.023,0.033,0.022,0.028
,,496,N/A,N/A,N/A,0.020,0.038,0.022,0.032,0.021,0.027
,,497,N/A,N/A,N/A,0.020,0.036,0.021,0.030,0.020,0.025
,,498,N/A,N/A,N/A,0.019,0.035,0.020,0.029,0.020,0.025
,,499,N/A,N/A,N/A,0.018,0.034,0.020,0.028,0.019,0.024
,,500,N/A,N/A,N/A,0.018,0.033,0.019,0.028,0.018,0.023
,,501,N/A,N/A,N/A,0.018,0.033,0.019,0.028,0.018,0.023
,,502,N/A,N/A,N/A,0.018,0.033,0.019,0.027,0.018,0.023
,,503,N/A,N/A,N/A,0.018,0.033,0.019,0.027,0.018,0.023
,,504,N/A,N/A,N/A,0.018,0.033,0.019,0.028,0.018,0.023
,,505,N/A,N/A,N/A,0.018,0.034,0.019,0.028,0.018,0.023
,,506,N/A,N/A,N/A,0.018,0.034,0.019,0.028,0.018,0.023
,,507,N/A,N/A,N/A,0.018,0.034,0.019,0.029,0.018,0.023
,,508,N/A,N/A,N/A,0.019,0.035,0.020,0.029,0.019,0.024
,,509,N/A,N/A,N/A,0.019,0.036,0.020,0.030,0.019,0.024
,,510,N/A,N/A,N/A,0.019,0.037,0.021,0.031,0.019,0.025
,,511,N/A,N/A,N/A,0.020,0.038,0.021,0.032,0.020,0.026
,,512,N/A,N/A,N/A,0.020,0.039,0.022,0.033,0.021,0.026
,,513,N/A,N/A,N/A,0.021,0.040,0.022,0.034,0.021,0.027
,,514,N/A,N/A,N/A,0.021,0.041,0.023,0.035,0.022,0.028
,,515,N/A,N/A,N/A,0.022,0.042,0.024,0.036,0.023,0.030
,,516,N/A,N/A,N/A,0.023,0.044,0.025,0.037,0.024,0.031
,,517,N/A,N/A,N/A,0.024,0.045,0.025,0.038,0.024,0.032
,,518,N/A,N/A,N/A,0.024,0.047,0.026,0.040,0.025,0.033
,,519,N/A,N/A,N/A,0.025,0.048,0.027,0.041,0.026,0.034
,,520,N/A,N/A,N/A,0.026,0.050,0.028,0.042,0.027,0.036
,,521,N/A,N/A,N/A,0.027,0.051,0.029,0.043,0.028,0.037
,,522,N/A,N/A,N/A,0.027,0.053,0.029,0.044,0.029,0.038
,,523,N/A,N/A,N/A,0.028,0.054,0.030,0.045,0.029,0.038
,,524,N/A,N/A,N/A,0.028,0.055,0.030,0.046,0.030,0.039
,,525,N/A,N/A,N/A,0.029,0.056,0.031,0.047,0.030,0.040
,,526,N/A,N/A,N/A,0.029,0.057,0.031,0.048,0.031,0.041
,,527,N/A,N/A,N/A,0.029,0.057,0.032,0.049,0.031,0.042
,,528,N/A,N/A,N/A,0.030,0.058,0.032,0.050,0.032,0.042
,,529,N/A,N/A,N/A,0.030,0.059,0.033,0.050,0.032,0.043
,,530,N/A,N/A,N/A,0.030,0.060,0.033,0.051,0.033,0.043
,,531,N/A,N/A,N/A,0.031,0.061,0.033,0.052,0.033,0.044
,,532,N/A,N/A,N/A,0.031,0.061,0.034,0.052,0.033,0.045
,,533,N/A,N/A,N/A,0.031,0.062,0.034,0.053,0.034,0.045
,,534,N/A,N/A,N/A,0.032,0.063,0.034,0.053,0.034,0.046
,,535,N/A,N/A,N/A,0.032,0.064,0.035,0.054,0.035,0.047
,,536,N/A,N/A,N/A,0.033,0.065,0.035,0.055,0.035,0.048
,,537,N/A,N/A,N/A,0.033,0.067,0.036,0.056,0.036,0.048
,,538,N/A,N/A,N/A,0.034,0.068,0.036,0.057,0.037,0.049
,,539,N/A,N/A,N/A,0.034,0.069,0.037,0.058,0.037,0.051
,,540,N/A,N/A,N/A,0.035,0.070,0.037,0.059,0.038,0.051
,,541,N/A,N/A,N/A,0.035,0.071,0.038,0.059,0.038,0.052
,,542,N/A,N/A,N/A,0.036,0.072,0.038,0.060,0.039,0.053
,,543,N/A,N/A,N/A,0.036,0.073,0.039,0.061,0.039,0.054
,,544,N/A,N/A,N/A,0.037,0.074,0.039,0.063,0.040,0.055
,,545,N/A,N/A,N/A,0.037,0.075,0.040,0.064,0.040,0.055
,,546,N/A,N/A,N/A,0.037,0.076,0.040,0.064,0.041,0.056
,,547,N/A,N/A,N/A,0.037,0.076,0.041,0.065,0.041,0.057
,,548,N/A,N/A,N/A,0.038,0.077,0.041,0.066,0.042,0.057
,,549,N/A,N/A,N/A,0.038,0.077,0.041,0.066,0.042,0.058
,,550,N/A,N/A,N/A,0.038,0.078,0.042,0.067,0.042,0.058
,,551,N/A,N/A,N/A,0.038,0.078,0.042,0.067,0.042,0.058
,,552,N/A,N/A,N/A,0.038,0.079,0.042,0.068,0.042,0.059
,,553,N/A,N/A,N/A,0.038,0.079,0.042,0.068,0.042,0.059
,,554,N/A,N/A,N/A,0.038,0.079,0.042,0.068,0.043,0.060
,,555,N/A,N/A,N/A,0.039,0.080,0.042,0.068,0.043,0.060
,,556,N/A,N/A,N/A,0.039,0.080,0.042,0.069,0.043,0.060
,,557,N/A,N/A,N/A,0.039,0.081,0.043,0.069,0.043,0.061
,,558,N/A,N/A,N/A,0.039,0.082,0.043,0.070,0.043,0.061
,,559,N/A,N/A,N/A,0.040,0.082,0.043,0.070,0.043,0.061
,,560,N/A,N/A,N/A,0.040,0.083,0.043,0.071,0.043,0.061
,,561,N/A,N/A,N/A,0.040,0.083,0.044,0.071,0.044,0.062
,,562,N/A,N/A,N/A,0.040,0.084,0.044,0.072,0.044,0.062
,,563,N/A,N/A,N/A,0.041,0.085,0.044,0.072,0.044,0.062
,,564,N/A,N/A,N/A,0.041,0.085,0.044,0.073,0.044,0.063
,,565,N/A,N/A,N/A,0.041,0.086,0.044,0.073,0.044,0.063
,,566,N/A,N/A,N/A,0.041,0.087,0.045,0.074,0.045,0.063
,,567,N/A,N/A,N/A,0.041,0.087,0.045,0.075,0.045,0.064
,,568,N/A,N/A,N/A,0.041,0.087,0.045,0.075,0.045,0.064
,,569,N/A,N/A,N/A,0.042,0.088,0.045,0.075,0.045,0.064
,,570,N/A,N/A,N/A,0.042,0.088,0.045,0.075,0.045,0.064
,,571,N/A,N/A,N/A,0.042,0.089,0.045,0.075,0.045,0.064
,,572,N/A,N/A,N/A,0.042,0.089,0.045,0.076,0.045,0.065
,,573,N/A,N/A,N/A,0.042,0.089,0.046,0.076,0.045,0.065
,,574,N/A,N/A,N/A,0.042,0.090,0.046,0.076,0.045,0.065
,,575,N/A,N/A,N/A,0.042,0.090,0.046,0.077,0.045,0.065
,,576,N/A,N/A,N/A,0.042,0.091,0.046,0.077,0.045,0.065
,,577,N/A,N/A,N/A,0.042,0.091,0.046,0.077,0.045,0.065
,,578,N/A,N/A,N/A,0.043,0.091,0.046,0.077,0.045,0.065
,,579,N/A,N/A,N/A,0.043,0.092,0.046,0.078,0.045,0.065
,,580,N/A,N/A,N/A,0.043,0.092,0.046,0.078,0.045,0.066
,,581,N/A,N/A,N/A,0.043,0.093,0.046,0.079,0.045,0.066
,,582,N/A,N/A,N/A,0.043,0.094,0.047,0.079,0.045,0.066
,,583,N/A,N/A,N/A,0.044,0.094,0.047,0.080,0.046,0.067
,,584,N/A,N/A,N/A,0.044,0.095,0.047,0.080,0.046,0.067
,,585,N/A,N/A,N/A,0.044,0.096,0.047,0.081,0.046,0.068
,,586,N/A,N/A,N/A,0.045,0.097,0.048,0.082,0.047,0.069
,,587,N/A,N/A,N/A,0.045,0.098,0.048,0.082,0.047,0.069
,,588,N/A,N/A,N/A,0.045,0.099,0.048,0.083,0.047,0.070
,,589,N/A,N/A,N/A,0.045,0.099,0.049,0.084,0.047,0.070
,,590,N/A,N/A,N/A,0.046,0.100,0.049,0.084,0.048,0.071
,,591,N/A,N/A,N/A,0.046,0.101,0.049,0.084,0.048,0.071
,,592,N/A,N/A,N/A,0.046,0.101,0.049,0.085,0.048,0.072
,,593,N/A,N/A,N/A,0.046,0.102,0.049,0.085,0.048,0.072
,,594,N/A,N/A,N/A,0.046,0.102,0.049,0.086,0.048,0.072
,,595,N/A,N/A,N/A,0.047,0.103,0.049,0.086,0.048,0.072
,,596,N/A,N/A,N/A,0.047,0.104,0.050,0.086,0.048,0.072
,,597,N/A,N/A,N/A,0.047,0.104,0.050,0.087,0.048,0.072
,,598,N/A,N/A,N/A,0.047,0.104,0.050,0.087,0.048,0.072
,,599,N/A,N/A,N/A,0.047,0.105,0.050,0.087,0.048,0.072
,,600,N/A,N/A,N/A,0.047,0.105,0.050,0.087,0.048,0.073
,,601,N/A,N/A,N/A,0.047,0.106,0.050,0.088,0.048,0.073
,,602,N/A,N/A,N/A,0.048,0.106,0.050,0.088,0.048,0.073
,,603,N/A,N/A,N/A,0.048,0.107,0.051,0.089,0.049,0.074
,,604,N/A,N/A,N/A,0.048,0.109,0.051,0.090,0.049,0.075
,,605,N/A,N/A,N/A,0.049,0.110,0.052,0.091,0.050,0.076
,,606,N/A,N/A,N/A,0.050,0.112,0.052,0.093,0.051,0.077
,,607,N/A,N/A,N/A,0.050,0.114,0.053,0.095,0.052,0.079
,,608,N/A,N/A,N/A,0.051,0.116,0.054,0.096,0.053,0.081
,,609,N/A,N/A,N/A,0.053,0.119,0.056,0.099,0.054,0.083
,,610,N/A,N/A,N/A,0.054,0.123,0.057,0.102,0.056,0.086
,,611,N/A,N/A,N/A,0.056,0.127,0.059,0.105,0.058,0.089
,,612,N/A,N/A,N/A,0.058,0.132,0.061,0.109,0.059,0.092
,,613,N/A,N/A,N/A,0.060,0.136,0.063,0.112,0.061,0.095
,,614,N/A,N/A,N/A,0.062,0.141,0.065,0.117,0.064,0.099
,,615,N/A,N/A,N/A,0.064,0.146,0.067,0.121,0.066,0.103
,,616,N/A,N/A,N/A,0.067,0.152,0.070,0.126,0.069,0.107
,,617,N/A,N/A,N/A,0.069,0.158,0.073,0.131,0.072,0.111
,,618,N/A,N/A,N/A,0.072,0.165,0.076,0.136,0.074,0.116
,,619,N/A,N/A,N/A,0.075,0.172,0.078,0.141,0.077,0.121
,,620,N/A,N/A,N/A,0.078,0.179,0.081,0.147,0.080,0.126
,,621,N/A,N/A,N/A,0.081,0.187,0.084,0.152,0.084,0.131
,,622,N/A,N/A,N/A,0.084,0.195,0.087,0.158,0.087,0.136
,,623,N/A,N/A,N/A,0.088,0.203,0.090,0.164,0.090,0.141
,,624,N/A,N/A,N/A,0.091,0.212,0.094,0.170,0.094,0.147
,,625,N/A,N/A,N/A,0.095,0.221,0.097,0.177,0.097,0.153
,,626,N/A,N/A,N/A,0.100,0.231,0.101,0.184,0.101,0.159
,,627,N/A,N/A,N/A,0.104,0.242,0.105,0.192,0.105,0.166
,,628,N/A,N/A,N/A,0.109,0.254,0.109,0.200,0.109,0.173
,,629,N/A,N/A,N/A,0.114,0.266,0.114,0.209,0.114,0.181
,,630,N/A,N/A,N/A,0.119,0.279,0.120,0.220,0.120,0.190
,,631,N/A,N/A,N/A,0.126,0.295,0.126,0.232,0.126,0.200
,,632,N/A,N/A,N/A,0.133,0.312,0.133,0.245,0.132,0.211
,,633,N/A,N/A,N/A,0.140,0.330,0.141,0.260,0.140,0.224
,,634,N/A,N/A,N/A,0.149,0.351,0.150,0.277,0.149,0.238
,,635,N/A,N/A,N/A,0.159,0.376,0.160,0.296,0.159,0.255
,,636,N/A,N/A,N/A,0.170,0.403,0.171,0.318,0.171,0.274
,,637,N/A,N/A,N/A,0.183,0.433,0.184,0.342,0.184,0.295
,,638,N/A,N/A,N/A,0.198,0.468,0.199,0.370,0.199,0.320
,,639,N/A,N/A,N/A,0.214,0.508,0.215,0.402,0.216,0.348
,,640,N/A,N/A,N/A,0.233,0.553,0.234,0.437,0.235,0.379
,,641,N/A,N/A,N/A,0.254,0.604,0.255,0.477,0.256,0.413
,,642,N/A,N/A,N/A,0.277,0.660,0.278,0.521,0.280,0.452
,,643,N/A,N/A,N/A,0.303,0.723,0.304,0.571,0.305,0.495
,,644,N/A,N/A,N/A,0.331,0.791,0.332,0.624,0.334,0.541
,,645,N/A,N/A,N/A,0.361,0.864,0.362,0.682,0.364,0.591
,,646,N/A,N/A,N/A,0.393,0.944,0.395,0.744,0.396,0.645
,,647,N/A,N/A,N/A,0.428,1.030,0.429,0.810,0.431,0.702
,,648,N/A,N/A,N/A,0.466,1.122,0.466,0.881,0.468,0.764
,,649,N/A,N/A,N/A,0.506,1.220,0.505,0.957,0.507,0.830
,,650,N/A,N/A,N/A,0.548,1.323,0.547,1.038,0.549,0.899
,,651,N/A,N/A,N/A,0.592,1.432,0.591,1.123,0.593,0.973
,,652,N/A,N/A,N/A,0.638,1.546,0.637,1.213,0.639,1.050
,,653,N/A,N/A,N/A,0.685,1.663,0.685,1.305,0.687,1.130
,,654,N/A,N/A,N/A,0.734,1.784,0.734,1.400,0.735,1.211
,,655,N/A,N/A,N/A,0.783,1.907,0.783,1.496,0.784,1.294
,,656,N/A,N/A,N/A,0.832,2.028,0.831,1.590,0.832,1.375
,,657,N/A,N/A,N/A,0.878,2.142,0.876,1.680,0.878,1.453
,,658,N/A,N/A,N/A,0.919,2.246,0.918,1.762,0.919,1.522
,,659,N/A,N/A,N/A,0.953,2.334,0.953,1.832,0.953,1.582
,,660,N/A,N/A,N/A,0.979,2.401,0.979,1.886,0.979,1.627
,,661,N/A,N/A,N/A,0.995,2.444,0.995,1.920,0.995,1.657
,,662,N/A,N/A,N/A,1.000,2.460,1.000,1.932,1.000,1.667
,,663,N/A,N/A,N/A,0.993,2.446,0.993,1.921,0.993,1.658
,,664,N/A,N/A,N/A,0.974,2.403,0.974,1.888,0.974,1.629
,,665,N/A,N/A,N/A,0.943,2.331,0.944,1.831,0.944,1.580
,,666,N/A,N/A,N/A,0.903,2.233,0.903,1.755,0.903,1.514
,,667,N/A,N/A,N/A,0.853,2.113,0.853,1.660,0.852,1.432
,,668,N/A,N/A,N/A,0.795,1.974,0.795,1.551,0.795,1.337
,,669,N/A,N/A,N/A,0.733,1.821,0.733,1.431,0.732,1.234
,,670,N/A,N/A,N/A,0.667,1.660,0.667,1.305,0.667,1.125
,,671,N/A,N/A,N/A,0.601,1.498,0.602,1.178,0.601,1.015
,,672,N/A,N/A,N/A,0.536,1.338,0.537,1.054,0.536,0.907
,,673,N/A,N/A,N/A,0.475,1.187,0.476,0.935,0.474,0.804
,,674,N/A,N/A,N/A,0.418,1.046,0.419,0.823,0.417,0.708
,,675,N/A,N/A,N/A,0.365,0.916,0.366,0.721,0.364,0.619
,,676,N/A,N/A,N/A,0.318,0.798,0.318,0.628,0.317,0.539
,,677,N/A,N/A,N/A,0.275,0.691,0.276,0.545,0.274,0.468
,,678,N/A,N/A,N/A,0.237,0.596,0.238,0.472,0.237,0.404
,,679,N/A,N/A,N/A,0.204,0.514,0.206,0.408,0.204,0.349
,,680,N/A,N/A,N/A,0.176,0.444,0.178,0.353,0.176,0.302
,,681,N/A,N/A,N/A,0.152,0.385,0.154,0.306,0.153,0.262
,,682,N/A,N/A,N/A,0.132,0.335,0.134,0.267,0.133,0.228
,,683,N/A,N/A,N/A,0.116,0.293,0.117,0.233,0.116,0.200
,,684,N/A,N/A,N/A,0.101,0.258,0.103,0.205,0.102,0.176
,,685,N/A,N/A,N/A,0.090,0.228,0.091,0.182,0.091,0.157
,,686,N/A,N/A,N/A,0.080,0.204,0.081,0.162,0.081,0.140
,,687,N/A,N/A,N/A,0.072,0.184,0.073,0.147,0.073,0.126
,,688,N/A,N/A,N/A,0.066,0.168,0.067,0.134,0.066,0.115
,,689,N/A,N/A,N/A,0.060,0.155,0.061,0.123,0.061,0.106
,,690,N/A,N/A,N/A,0.056,0.143,0.057,0.114,0.057,0.098
,,691,N/A,N/A,N/A,0.052,0.134,0.053,0.106,0.053,0.092
,,692,N/A,N/A,N/A,0.049,0.125,0.049,0.100,0.049,0.086
,,693,N/A,N/A,N/A,0.046,0.118,0.046,0.094,0.046,0.081
,,694,N/A,N/A,N/A,0.043,0.111,0.044,0.089,0.044,0.076
,,695,N/A,N/A,N/A,0.041,0.105,0.041,0.084,0.041,0.073
,,696,N/A,N/A,N/A,0.039,0.100,0.039,0.080,0.039,0.069
,,697,N/A,N/A,N/A,0.037,0.095,0.037,0.076,0.038,0.066
,,698,N/A,N/A,N/A,0.035,0.090,0.036,0.072,0.036,0.063
,,699,N/A,N/A,N/A,0.033,0.086,0.034,0.069,0.034,0.060
,,700,N/A,N/A,N/A,0.031,0.082,0.032,0.066,0.033,0.058
,,701,N/A,N/A,N/A,0.030,0.078,0.031,0.063,0.031,0.055
,,702,N/A,N/A,N/A,0.028,0.074,0.029,0.060,0.030,0.052
,,703,N/A,N/A,N/A,0.027,0.070,0.028,0.057,0.028,0.050
,,704,N/A,N/A,N/A,0.025,0.066,0.026,0.054,0.027,0.047
,,705,N/A,N/A,N/A,0.024,0.063,0.025,0.051,0.025,0.045
,,706,N/A,N/A,N/A,0.023,0.060,0.023,0.048,0.024,0.043
,,707,N/A,N/A,N/A,0.022,0.057,0.022,0.046,0.023,0.041
,,708,N/A,N/A,N/A,0.020,0.054,0.021,0.043,0.022,0.039
,,709,N/A,N/A,N/A,0.019,0.051,0.020,0.041,0.021,0.037
,,710,N/A,N/A,N/A,0.018,0.048,0.019,0.039,0.020,0.035
,,711,N/A,N/A,N/A,0.017,0.045,0.018,0.037,0.019,0.033
,,712,N/A,N/A,N/A,0.016,0.042,0.017,0.035,0.018,0.032
,,713,N/A,N/A,N/A,0.015,0.040,0.016,0.033,0.017,0.031
,,714,N/A,N/A,N/A,0.014,0.038,0.015,0.032,0.016,0.029
,,715,N/A,N/A,N/A,0.014,0.036,0.015,0.031,0.016,0.028
,,716,N/A,N/A,N/A,0.013,0.035,0.014,0.030,0.015,0.027
,,717,N/A,N/A,N/A,0.013,0.034,0.014,0.029,0.015,0.026
,,718,N/A,N/A,N/A,0.012,0.032,0.013,0.027,0.014,0.026
,,719,N/A,N/A,N/A,0.012,0.031,0.013,0.027,0.014,0.025
,,720,N/A,N/A,N/A,0.011,0.030,0.012,0.026,0.013,0.024
,,721,N/A,N/A,N/A,0.011,0.029,0.012,0.025,0.013,0.024
,,722,N/A,N/A,N/A,0.011,0.029,0.012,0.025,0.013,0.024
