Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd,Test 2 - raw,Test 2 - ppfd,Test 3 - raw,Test 3 - ppfd
,,411,N/A,N/A,N/A,0.004,0.004,0.005,0.007,0.004,0.004
,,412,N/A,N/A,N/A,0.005,0.004,0.005,0.007,0.005,0.005
,,413,N/A,N/A,N/A,0.005,0.004,0.006,0.008,0.005,0.005
,,414,N/A,N/A,N/A,0.006,0.005,0.006,0.009,0.006,0.006
,,415,N/A,N/A,N/A,0.007,0.006,0.007,0.010,0.007,0.007
,,416,N/A,N/A,N/A,0.008,0.006,0.008,0.012,0.008,0.008
,,417,N/A,N/A,N/A,0.009,0.007,0.009,0.014,0.009,0.009
,,418,N/A,N/A,N/A,0.010,0.009,0.011,0.016,0.010,0.011
,,419,N/A,N/A,N/A,0.012,0.010,0.012,0.018,0.012,0.012
,,420,N/A,N/A,N/A,0.014,0.012,0.015,0.021,0.014,0.014
,,421,N/A,N/A,N/A,0.017,0.014,0.017,0.025,0.016,0.017
,,422,N/A,N/A,N/A,0.019,0.016,0.020,0.029,0.019,0.020
,,423,N/A,N/A,N/A,0.022,0.018,0.023,0.034,0.021,0.023
,,424,N/A,N/A,N/A,0.026,0.021,0.026,0.039,0.025,0.026
,,425,N/A,N/A,N/A,0.030,0.025,0.030,0.046,0.029,0.031
,,426,N/A,N/A,N/A,0.035,0.029,0.035,0.053,0.034,0.036
,,427,N/A,N/A,N/A,0.040,0.034,0.041,0.061,0.039,0.042
,,428,N/A,N/A,N/A,0.047,0.040,0.047,0.072,0.046,0.049
,,429,N/A,N/A,N/A,0.055,0.046,0.055,0.084,0.054,0.058
,,430,N/A,N/A,N/A,0.063,0.054,0.064,0.098,0.063,0.067
,,431,N/A,N/A,N/A,0.073,0.063,0.075,0.114,0.073,0.078
,,432,N/A,N/A,N/A,0.085,0.073,0.086,0.132,0.084,0.091
,,433,N/A,N/A,N/A,0.098,0.084,0.100,0.153,0.097,0.105
,,434,N/A,N/A,N/A,0.113,0.097,0.115,0.176,0.112,0.122
,,435,N/A,N/A,N/A,0.130,0.112,0.132,0.203,0.129,0.141
,,436,N/A,N/A,N/A,0.149,0.128,0.151,0.233,0.148,0.161
,,437,N/A,N/A,N/A,0.169,0.147,0.172,0.266,0.168,0.184
,,438,N/A,N/A,N/A,0.192,0.167,0.196,0.302,0.191,0.210
,,439,N/A,N/A,N/A,0.217,0.189,0.221,0.343,0.216,0.238
,,440,N/A,N/A,N/A,0.245,0.214,0.250,0.387,0.244,0.269
,,441,N/A,N/A,N/A,0.277,0.242,0.281,0.437,0.275,0.303
,,442,N/A,N/A,N/A,0.311,0.272,0.315,0.491,0.308,0.341
,,443,N/A,N/A,N/A,0.347,0.304,0.351,0.548,0.345,0.382
,,444,N/A,N/A,N/A,0.385,0.339,0.389,0.609,0.383,0.426
,,445,N/A,N/A,N/A,0.426,0.376,0.430,0.675,0.424,0.472
,,446,N/A,N/A,N/A,0.468,0.413,0.471,0.741,0.464,0.519
,,447,N/A,N/A,N/A,0.508,0.450,0.511,0.806,0.504,0.565
,,448,N/A,N/A,N/A,0.547,0.485,0.549,0.868,0.542,0.608
,,449,N/A,N/A,N/A,0.582,0.517,0.584,0.925,0.576,0.648
,,450,N/A,N/A,N/A,0.612,0.545,0.614,0.975,0.605,0.682
,,451,N/A,N/A,N/A,0.635,0.567,0.637,1.014,0.627,0.709
,,452,N/A,N/A,N/A,0.650,0.582,0.653,1.040,0.643,0.728
,,453,N/A,N/A,N/A,0.656,0.589,0.659,1.053,0.649,0.736
,,454,N/A,N/A,N/A,0.655,0.589,0.658,1.053,0.646,0.735
,,455,N/A,N/A,N/A,0.645,0.581,0.648,1.040,0.636,0.725
,,456,N/A,N/A,N/A,0.626,0.565,0.629,1.011,0.617,0.705
,,457,N/A,N/A,N/A,0.601,0.544,0.603,0.973,0.592,0.678
,,458,N/A,N/A,N/A,0.570,0.517,0.573,0.925,0.561,0.644
,,459,N/A,N/A,N/A,0.536,0.487,0.538,0.871,0.527,0.606
,,460,N/A,N/A,N/A,0.499,0.454,0.501,0.813,0.491,0.566
,,461,N/A,N/A,N/A,0.461,0.421,0.462,0.752,0.453,0.523
,,462,N/A,N/A,N/A,0.423,0.387,0.425,0.692,0.416,0.482
,,463,N/A,N/A,N/A,0.387,0.355,0.388,0.634,0.380,0.441
,,464,N/A,N/A,N/A,0.354,0.325,0.355,0.581,0.347,0.404
,,465,N/A,N/A,N/A,0.323,0.297,0.324,0.532,0.317,0.369
,,466,N/A,N/A,N/A,0.294,0.271,0.295,0.486,0.289,0.337
,,467,N/A,N/A,N/A,0.268,0.248,0.269,0.444,0.263,0.308
,,468,N/A,N/A,N/A,0.245,0.227,0.246,0.406,0.240,0.281
,,469,N/A,N/A,N/A,0.224,0.208,0.225,0.372,0.219,0.257
,,470,N/A,N/A,N/A,0.205,0.191,0.206,0.341,0.200,0.236
,,471,N/A,N/A,N/A,0.187,0.175,0.188,0.312,0.183,0.216
,,472,N/A,N/A,N/A,0.171,0.160,0.172,0.286,0.167,0.198
,,473,N/A,N/A,N/A,0.156,0.146,0.157,0.261,0.152,0.180
,,474,N/A,N/A,N/A,0.142,0.133,0.142,0.238,0.138,0.164
,,475,N/A,N/A,N/A,0.129,0.121,0.129,0.216,0.125,0.149
,,476,N/A,N/A,N/A,0.117,0.110,0.116,0.196,0.113,0.135
,,477,N/A,N/A,N/A,0.105,0.099,0.105,0.177,0.102,0.122
,,478,N/A,N/A,N/A,0.095,0.090,0.095,0.160,0.092,0.110
,,479,N/A,N/A,N/A,0.086,0.081,0.086,0.145,0.083,0.100
,,480,N/A,N/A,N/A,0.077,0.073,0.077,0.131,0.075,0.090
,,481,N/A,N/A,N/A,0.069,0.066,0.070,0.118,0.067,0.081
,,482,N/A,N/A,N/A,0.062,0.059,0.063,0.107,0.061,0.074
,,483,N/A,N/A,N/A,0.056,0.054,0.057,0.097,0.055,0.067
,,484,N/A,N/A,N/A,0.051,0.049,0.052,0.089,0.050,0.061
,,485,N/A,N/A,N/A,0.047,0.045,0.048,0.081,0.046,0.056
,,486,N/A,N/A,N/A,0.043,0.041,0.044,0.075,0.042,0.051
,,487,N/A,N/A,N/A,0.040,0.038,0.040,0.069,0.039,0.047
,,488,N/A,N/A,N/A,0.036,0.035,0.037,0.064,0.036,0.044
,,489,N/A,N/A,N/A,0.034,0.033,0.034,0.059,0.033,0.041
,,490,N/A,N/A,N/A,0.031,0.030,0.032,0.055,0.031,0.038
,,491,N/A,N/A,N/A,0.029,0.028,0.029,0.051,0.028,0.035
,,492,N/A,N/A,N/A,0.027,0.026,0.027,0.048,0.026,0.033
,,493,N/A,N/A,N/A,0.025,0.025,0.026,0.045,0.025,0.031
,,494,N/A,N/A,N/A,0.024,0.023,0.024,0.042,0.023,0.029
,,495,N/A,N/A,N/A,0.022,0.022,0.023,0.040,0.022,0.027
,,496,N/A,N/A,N/A,0.021,0.021,0.022,0.038,0.021,0.026
,,497,N/A,N/A,N/A,0.020,0.020,0.021,0.037,0.020,0.025
,,498,N/A,N/A,N/A,0.020,0.019,0.020,0.036,0.019,0.024
,,499,N/A,N/A,N/A,0.019,0.019,0.020,0.035,0.018,0.023
,,500,N/A,N/A,N/A,0.019,0.018,0.019,0.034,0.018,0.022
,,501,N/A,N/A,N/A,0.018,0.018,0.019,0.034,0.017,0.022
,,502,N/A,N/A,N/A,0.018,0.018,0.019,0.034,0.017,0.022
,,503,N/A,N/A,N/A,0.018,0.018,0.019,0.034,0.017,0.022
,,504,N/A,N/A,N/A,0.018,0.018,0.019,0.034,0.017,0.022
,,505,N/A,N/A,N/A,0.018,0.018,0.019,0.035,0.017,0.022
,,506,N/A,N/A,N/A,0.018,0.018,0.020,0.035,0.017,0.022
,,507,N/A,N/A,N/A,0.019,0.019,0.020,0.036,0.017,0.022
,,508,N/A,N/A,N/A,0.019,0.019,0.020,0.036,0.018,0.023
,,509,N/A,N/A,N/A,0.020,0.020,0.021,0.037,0.018,0.023
,,510,N/A,N/A,N/A,0.020,0.020,0.021,0.038,0.019,0.024
,,511,N/A,N/A,N/A,0.021,0.021,0.022,0.039,0.019,0.024
,,512,N/A,N/A,N/A,0.021,0.022,0.022,0.040,0.020,0.025
,,513,N/A,N/A,N/A,0.022,0.023,0.023,0.041,0.020,0.026
,,514,N/A,N/A,N/A,0.023,0.023,0.023,0.043,0.021,0.027
,,515,N/A,N/A,N/A,0.024,0.024,0.024,0.044,0.022,0.028
,,516,N/A,N/A,N/A,0.025,0.025,0.025,0.045,0.023,0.029
,,517,N/A,N/A,N/A,0.026,0.026,0.026,0.047,0.023,0.030
,,518,N/A,N/A,N/A,0.026,0.027,0.026,0.048,0.024,0.031
,,519,N/A,N/A,N/A,0.027,0.028,0.027,0.050,0.025,0.032
,,520,N/A,N/A,N/A,0.028,0.029,0.028,0.051,0.026,0.033
,,521,N/A,N/A,N/A,0.029,0.030,0.029,0.053,0.026,0.034
,,522,N/A,N/A,N/A,0.030,0.031,0.029,0.054,0.027,0.035
,,523,N/A,N/A,N/A,0.030,0.031,0.030,0.055,0.027,0.036
,,524,N/A,N/A,N/A,0.031,0.032,0.031,0.057,0.028,0.037
,,525,N/A,N/A,N/A,0.032,0.033,0.031,0.058,0.028,0.037
,,526,N/A,N/A,N/A,0.032,0.034,0.032,0.059,0.029,0.038
,,527,N/A,N/A,N/A,0.033,0.034,0.032,0.060,0.029,0.038
,,528,N/A,N/A,N/A,0.033,0.035,0.032,0.061,0.029,0.039
,,529,N/A,N/A,N/A,0.034,0.036,0.033,0.061,0.030,0.040
,,530,N/A,N/A,N/A,0.034,0.036,0.033,0.062,0.030,0.040
,,531,N/A,N/A,N/A,0.035,0.037,0.034,0.063,0.031,0.041
,,532,N/A,N/A,N/A,0.036,0.037,0.034,0.064,0.031,0.042
,,533,N/A,N/A,N/A,0.036,0.038,0.035,0.065,0.032,0.042
,,534,N/A,N/A,N/A,0.037,0.039,0.035,0.066,0.032,0.043
,,535,N/A,N/A,N/A,0.037,0.039,0.035,0.067,0.033,0.044
,,536,N/A,N/A,N/A,0.038,0.040,0.036,0.068,0.033,0.044
,,537,N/A,N/A,N/A,0.038,0.041,0.036,0.069,0.034,0.045
,,538,N/A,N/A,N/A,0.039,0.042,0.037,0.070,0.034,0.046
,,539,N/A,N/A,N/A,0.040,0.042,0.038,0.071,0.034,0.047
,,540,N/A,N/A,N/A,0.040,0.043,0.038,0.073,0.035,0.047
,,541,N/A,N/A,N/A,0.041,0.044,0.039,0.074,0.035,0.048
,,542,N/A,N/A,N/A,0.041,0.045,0.039,0.075,0.036,0.049
,,543,N/A,N/A,N/A,0.042,0.045,0.040,0.076,0.036,0.049
,,544,N/A,N/A,N/A,0.042,0.046,0.040,0.077,0.037,0.050
,,545,N/A,N/A,N/A,0.043,0.046,0.040,0.078,0.037,0.051
,,546,N/A,N/A,N/A,0.043,0.047,0.041,0.079,0.037,0.051
,,547,N/A,N/A,N/A,0.044,0.048,0.041,0.080,0.038,0.052
,,548,N/A,N/A,N/A,0.044,0.048,0.042,0.080,0.038,0.052
,,549,N/A,N/A,N/A,0.044,0.048,0.042,0.081,0.038,0.053
,,550,N/A,N/A,N/A,0.045,0.049,0.042,0.082,0.039,0.053
,,551,N/A,N/A,N/A,0.045,0.049,0.042,0.082,0.039,0.054
,,552,N/A,N/A,N/A,0.045,0.049,0.043,0.083,0.039,0.054
,,553,N/A,N/A,N/A,0.045,0.049,0.043,0.084,0.039,0.054
,,554,N/A,N/A,N/A,0.045,0.050,0.043,0.084,0.039,0.055
,,555,N/A,N/A,N/A,0.046,0.050,0.043,0.085,0.040,0.055
,,556,N/A,N/A,N/A,0.046,0.050,0.044,0.086,0.040,0.055
,,557,N/A,N/A,N/A,0.046,0.051,0.044,0.086,0.040,0.056
,,558,N/A,N/A,N/A,0.046,0.051,0.044,0.086,0.040,0.056
,,559,N/A,N/A,N/A,0.046,0.051,0.044,0.087,0.040,0.057
,,560,N/A,N/A,N/A,0.046,0.052,0.044,0.087,0.041,0.057
,,561,N/A,N/A,N/A,0.047,0.052,0.044,0.087,0.041,0.057
,,562,N/A,N/A,N/A,0.047,0.052,0.044,0.088,0.041,0.058
,,563,N/A,N/A,N/A,0.047,0.052,0.045,0.088,0.041,0.058
,,564,N/A,N/A,N/A,0.047,0.052,0.045,0.089,0.041,0.058
,,565,N/A,N/A,N/A,0.047,0.053,0.045,0.090,0.041,0.058
,,566,N/A,N/A,N/A,0.047,0.053,0.045,0.090,0.041,0.059
,,567,N/A,N/A,N/A,0.047,0.053,0.045,0.091,0.041,0.059
,,568,N/A,N/A,N/A,0.047,0.053,0.046,0.091,0.042,0.059
,,569,N/A,N/A,N/A,0.047,0.053,0.046,0.092,0.042,0.059
,,570,N/A,N/A,N/A,0.047,0.053,0.046,0.092,0.042,0.059
,,571,N/A,N/A,N/A,0.047,0.053,0.046,0.092,0.042,0.060
,,572,N/A,N/A,N/A,0.047,0.053,0.046,0.093,0.042,0.060
,,573,N/A,N/A,N/A,0.047,0.053,0.046,0.093,0.042,0.060
,,574,N/A,N/A,N/A,0.047,0.053,0.046,0.094,0.042,0.060
,,575,N/A,N/A,N/A,0.047,0.053,0.046,0.094,0.042,0.060
,,576,N/A,N/A,N/A,0.047,0.053,0.046,0.094,0.042,0.060
,,577,N/A,N/A,N/A,0.047,0.053,0.046,0.095,0.042,0.060
,,578,N/A,N/A,N/A,0.047,0.054,0.046,0.095,0.042,0.061
,,579,N/A,N/A,N/A,0.047,0.054,0.046,0.095,0.042,0.061
,,580,N/A,N/A,N/A,0.047,0.054,0.047,0.095,0.042,0.061
,,581,N/A,N/A,N/A,0.047,0.054,0.047,0.096,0.042,0.061
,,582,N/A,N/A,N/A,0.047,0.054,0.047,0.096,0.042,0.062
,,583,N/A,N/A,N/A,0.047,0.055,0.047,0.097,0.043,0.062
,,584,N/A,N/A,N/A,0.048,0.055,0.047,0.098,0.043,0.063
,,585,N/A,N/A,N/A,0.048,0.055,0.048,0.098,0.043,0.063
,,586,N/A,N/A,N/A,0.048,0.056,0.048,0.099,0.043,0.064
,,587,N/A,N/A,N/A,0.048,0.056,0.048,0.100,0.044,0.064
,,588,N/A,N/A,N/A,0.049,0.057,0.049,0.101,0.044,0.065
,,589,N/A,N/A,N/A,0.049,0.057,0.049,0.102,0.044,0.065
,,590,N/A,N/A,N/A,0.049,0.058,0.049,0.103,0.044,0.066
,,591,N/A,N/A,N/A,0.049,0.058,0.050,0.103,0.045,0.066
,,592,N/A,N/A,N/A,0.050,0.058,0.050,0.104,0.045,0.067
,,593,N/A,N/A,N/A,0.050,0.058,0.050,0.105,0.045,0.067
,,594,N/A,N/A,N/A,0.050,0.059,0.050,0.105,0.045,0.067
,,595,N/A,N/A,N/A,0.050,0.059,0.050,0.105,0.045,0.067
,,596,N/A,N/A,N/A,0.050,0.059,0.050,0.106,0.045,0.068
,,597,N/A,N/A,N/A,0.050,0.059,0.050,0.106,0.045,0.068
,,598,N/A,N/A,N/A,0.050,0.059,0.050,0.106,0.045,0.068
,,599,N/A,N/A,N/A,0.050,0.059,0.051,0.107,0.045,0.068
,,600,N/A,N/A,N/A,0.050,0.059,0.051,0.107,0.045,0.068
,,601,N/A,N/A,N/A,0.050,0.060,0.051,0.108,0.046,0.069
,,602,N/A,N/A,N/A,0.050,0.060,0.051,0.108,0.046,0.069
,,603,N/A,N/A,N/A,0.051,0.061,0.051,0.109,0.046,0.070
,,604,N/A,N/A,N/A,0.051,0.061,0.052,0.110,0.047,0.071
,,605,N/A,N/A,N/A,0.052,0.062,0.052,0.111,0.048,0.072
,,606,N/A,N/A,N/A,0.053,0.063,0.053,0.113,0.049,0.074
,,607,N/A,N/A,N/A,0.053,0.064,0.054,0.115,0.049,0.075
,,608,N/A,N/A,N/A,0.054,0.066,0.055,0.118,0.050,0.077
,,609,N/A,N/A,N/A,0.056,0.067,0.056,0.120,0.052,0.079
,,610,N/A,N/A,N/A,0.057,0.069,0.057,0.124,0.053,0.081
,,611,N/A,N/A,N/A,0.059,0.071,0.059,0.127,0.055,0.084
,,612,N/A,N/A,N/A,0.061,0.074,0.061,0.132,0.057,0.087
,,613,N/A,N/A,N/A,0.063,0.076,0.063,0.136,0.059,0.090
,,614,N/A,N/A,N/A,0.065,0.079,0.065,0.142,0.061,0.094
,,615,N/A,N/A,N/A,0.067,0.082,0.068,0.147,0.063,0.097
,,616,N/A,N/A,N/A,0.070,0.085,0.070,0.152,0.066,0.101
,,617,N/A,N/A,N/A,0.072,0.088,0.073,0.158,0.068,0.105
,,618,N/A,N/A,N/A,0.075,0.091,0.075,0.164,0.071,0.109
,,619,N/A,N/A,N/A,0.078,0.095,0.078,0.171,0.074,0.114
,,620,N/A,N/A,N/A,0.080,0.099,0.081,0.177,0.077,0.119
,,621,N/A,N/A,N/A,0.083,0.102,0.084,0.184,0.080,0.124
,,622,N/A,N/A,N/A,0.086,0.106,0.087,0.192,0.083,0.129
,,623,N/A,N/A,N/A,0.089,0.110,0.090,0.199,0.086,0.135
,,624,N/A,N/A,N/A,0.093,0.115,0.094,0.206,0.090,0.140
,,625,N/A,N/A,N/A,0.097,0.120,0.097,0.214,0.093,0.146
,,626,N/A,N/A,N/A,0.101,0.125,0.101,0.223,0.097,0.152
,,627,N/A,N/A,N/A,0.105,0.130,0.105,0.233,0.101,0.159
,,628,N/A,N/A,N/A,0.110,0.136,0.110,0.243,0.105,0.166
,,629,N/A,N/A,N/A,0.115,0.143,0.115,0.255,0.110,0.174
,,630,N/A,N/A,N/A,0.120,0.150,0.120,0.267,0.116,0.183
,,631,N/A,N/A,N/A,0.126,0.158,0.126,0.281,0.122,0.193
,,632,N/A,N/A,N/A,0.133,0.167,0.133,0.297,0.129,0.204
,,633,N/A,N/A,N/A,0.141,0.177,0.141,0.314,0.136,0.216
,,634,N/A,N/A,N/A,0.150,0.188,0.150,0.335,0.145,0.230
,,635,N/A,N/A,N/A,0.160,0.201,0.160,0.357,0.155,0.247
,,636,N/A,N/A,N/A,0.171,0.216,0.171,0.383,0.166,0.265
,,637,N/A,N/A,N/A,0.184,0.232,0.184,0.413,0.179,0.286
,,638,N/A,N/A,N/A,0.198,0.251,0.198,0.446,0.194,0.310
,,639,N/A,N/A,N/A,0.215,0.272,0.215,0.484,0.210,0.337
,,640,N/A,N/A,N/A,0.233,0.295,0.233,0.527,0.229,0.367
,,641,N/A,N/A,N/A,0.254,0.322,0.254,0.575,0.250,0.401
,,642,N/A,N/A,N/A,0.277,0.352,0.277,0.628,0.273,0.439
,,643,N/A,N/A,N/A,0.302,0.384,0.303,0.687,0.298,0.481
,,644,N/A,N/A,N/A,0.329,0.420,0.331,0.751,0.326,0.526
,,645,N/A,N/A,N/A,0.359,0.459,0.361,0.821,0.356,0.575
,,646,N/A,N/A,N/A,0.391,0.500,0.393,0.895,0.388,0.628
,,647,N/A,N/A,N/A,0.425,0.545,0.427,0.975,0.422,0.685
,,648,N/A,N/A,N/A,0.462,0.592,0.464,1.061,0.459,0.746
,,649,N/A,N/A,N/A,0.500,0.643,0.503,1.152,0.498,0.811
,,650,N/A,N/A,N/A,0.541,0.696,0.545,1.249,0.540,0.879
,,651,N/A,N/A,N/A,0.584,0.752,0.588,1.351,0.583,0.951
,,652,N/A,N/A,N/A,0.629,0.812,0.634,1.458,0.628,1.026
,,653,N/A,N/A,N/A,0.675,0.873,0.681,1.569,0.675,1.105
,,654,N/A,N/A,N/A,0.723,0.937,0.730,1.683,0.724,1.186
,,655,N/A,N/A,N/A,0.772,1.001,0.779,1.799,0.773,1.269
,,656,N/A,N/A,N/A,0.820,1.065,0.827,1.913,0.821,1.350
,,657,N/A,N/A,N/A,0.866,1.127,0.873,2.022,0.868,1.428
,,658,N/A,N/A,N/A,0.908,1.183,0.914,2.123,0.910,1.500
,,659,N/A,N/A,N/A,0.944,1.232,0.950,2.208,0.946,1.561
,,660,N/A,N/A,N/A,0.973,1.271,0.977,2.274,0.974,1.610
,,661,N/A,N/A,N/A,0.992,1.298,0.994,2.317,0.992,1.644
,,662,N/A,N/A,N/A,1.000,1.311,1.000,2.335,1.000,1.659
,,663,N/A,N/A,N/A,0.997,1.309,0.994,2.326,0.996,1.655
,,664,N/A,N/A,N/A,0.982,1.291,0.977,2.288,0.980,1.630
,,665,N/A,N/A,N/A,0.955,1.258,0.947,2.223,0.952,1.586
,,666,N/A,N/A,N/A,0.917,1.210,0.907,2.132,0.913,1.524
,,667,N/A,N/A,N/A,0.870,1.149,0.858,2.019,0.865,1.445
,,668,N/A,N/A,N/A,0.815,1.078,0.801,1.888,0.809,1.354
,,669,N/A,N/A,N/A,0.754,0.999,0.739,1.745,0.747,1.253
,,670,N/A,N/A,N/A,0.689,0.915,0.674,1.593,0.682,1.146
,,671,N/A,N/A,N/A,0.624,0.829,0.608,1.440,0.616,1.036
,,672,N/A,N/A,N/A,0.559,0.743,0.543,1.288,0.551,0.928
,,673,N/A,N/A,N/A,0.496,0.661,0.481,1.143,0.489,0.824
,,674,N/A,N/A,N/A,0.437,0.583,0.424,1.007,0.430,0.727
,,675,N/A,N/A,N/A,0.383,0.511,0.371,0.882,0.377,0.637
,,676,N/A,N/A,N/A,0.333,0.446,0.323,0.769,0.328,0.555
,,677,N/A,N/A,N/A,0.289,0.387,0.280,0.668,0.284,0.481
,,678,N/A,N/A,N/A,0.249,0.335,0.241,0.577,0.245,0.416
,,679,N/A,N/A,N/A,0.215,0.289,0.208,0.499,0.211,0.359
,,680,N/A,N/A,N/A,0.185,0.250,0.180,0.431,0.182,0.310
,,681,N/A,N/A,N/A,0.161,0.217,0.155,0.373,0.157,0.268
,,682,N/A,N/A,N/A,0.140,0.189,0.135,0.325,0.136,0.233
,,683,N/A,N/A,N/A,0.122,0.165,0.118,0.284,0.119,0.204
,,684,N/A,N/A,N/A,0.107,0.145,0.104,0.250,0.104,0.179
,,685,N/A,N/A,N/A,0.095,0.129,0.092,0.222,0.092,0.158
,,686,N/A,N/A,N/A,0.085,0.115,0.082,0.198,0.082,0.141
,,687,N/A,N/A,N/A,0.077,0.104,0.074,0.179,0.074,0.127
,,688,N/A,N/A,N/A,0.070,0.095,0.067,0.163,0.067,0.116
,,689,N/A,N/A,N/A,0.064,0.088,0.062,0.150,0.061,0.106
,,690,N/A,N/A,N/A,0.060,0.081,0.057,0.139,0.057,0.098
,,691,N/A,N/A,N/A,0.056,0.076,0.053,0.130,0.053,0.091
,,692,N/A,N/A,N/A,0.052,0.072,0.050,0.122,0.049,0.086
,,693,N/A,N/A,N/A,0.049,0.067,0.047,0.115,0.046,0.081
,,694,N/A,N/A,N/A,0.046,0.064,0.044,0.109,0.044,0.076
,,695,N/A,N/A,N/A,0.044,0.061,0.042,0.103,0.042,0.072
,,696,N/A,N/A,N/A,0.042,0.058,0.040,0.097,0.039,0.069
,,697,N/A,N/A,N/A,0.040,0.055,0.038,0.092,0.037,0.065
,,698,N/A,N/A,N/A,0.038,0.052,0.036,0.088,0.036,0.062
,,699,N/A,N/A,N/A,0.036,0.050,0.034,0.083,0.034,0.059
,,700,N/A,N/A,N/A,0.034,0.048,0.032,0.079,0.032,0.057
,,701,N/A,N/A,N/A,0.033,0.045,0.030,0.075,0.031,0.054
,,702,N/A,N/A,N/A,0.031,0.043,0.029,0.071,0.029,0.052
,,703,N/A,N/A,N/A,0.030,0.041,0.027,0.068,0.028,0.049
,,704,N/A,N/A,N/A,0.028,0.039,0.026,0.064,0.027,0.047
,,705,N/A,N/A,N/A,0.027,0.037,0.025,0.061,0.025,0.044
,,706,N/A,N/A,N/A,0.026,0.036,0.023,0.058,0.024,0.042
,,707,N/A,N/A,N/A,0.025,0.034,0.022,0.056,0.023,0.040
,,708,N/A,N/A,N/A,0.024,0.033,0.021,0.053,0.022,0.039
,,709,N/A,N/A,N/A,0.023,0.032,0.020,0.050,0.021,0.037
,,710,N/A,N/A,N/A,0.022,0.030,0.019,0.048,0.020,0.035
,,711,N/A,N/A,N/A,0.020,0.029,0.018,0.045,0.019,0.033
,,712,N/A,N/A,N/A,0.019,0.027,0.017,0.043,0.018,0.031
,,713,N/A,N/A,N/A,0.019,0.026,0.016,0.041,0.017,0.030
,,714,N/A,N/A,N/A,0.018,0.025,0.016,0.040,0.016,0.028
,,715,N/A,N/A,N/A,0.017,0.024,0.015,0.038,0.015,0.027
,,716,N/A,N/A,N/A,0.017,0.024,0.014,0.037,0.015,0.026
,,717,N/A,N/A,N/A,0.016,0.023,0.014,0.035,0.014,0.025
,,718,N/A,N/A,N/A,0.016,0.022,0.013,0.034,0.014,0.025
,,719,N/A,N/A,N/A,0.015,0.022,0.013,0.032,0.013,0.024
,,720,N/A,N/A,N/A,0.015,0.022,0.012,0.031,0.013,0.024
,,721,N/A,N/A,N/A,0.015,0.022,0.012,0.030,0.013,0.023
,,722,N/A,N/A,N/A,0.015,0.022,0.012,0.030,0.013,0.023
